SampleID,sampleType,MouseID,MouseSex,Diet,Date,Time,Vendor,ExperimentID,ExperimentDay,StoolCollected,Sacrificed,BaseWeight,DayWeight,PercChange,Temperature,,,,,,,,,
CDD01.Tc.Chow.1.18,stool,,Male,Chow,1/27/24,16:30,Taconic,CDD01,18,T,F,25.4,25.3,-0.393700787,87,,,,,,,,,
CDD01.Tc.Chow.2.18,stool,,Male,Chow,1/27/24,9:30,Taconic,CDD01,18,T,F,22.3,21.4,-4.035874439,90.7,,,,,,,,,
CDD01.Tc.LFLF.1.18,stool,,Male,LFLF,1/27/24,9:30,Taconic,CDD01,18,swab,F,22.1,21.7,-1.809954751,88.5,,,,,,,,,
CDD01.Tc.LFLF.2.18,stool,,Male,LFLF,1/27/24,9:30,Taconic,CDD01,18,T,F,24.8,25.6,3.225806452,89.3,,,,,,,,,
CDD01.Tc.LFLF.3.18,stool,,Male,LFLF,1/27/24,9:30,Taconic,CDD01,18,T,F,25.5,23.1,-9.411764706,89.7,,,,,,,,,
CDD01.CR.Chow.1.18,stool,,Male,Chow,1/27/24,9:30,CharlesRiver,CDD01,18,T,F,23.6,25,5.93220339,87.8,,,,,,,,,
CDD01.CR.Chow.2.18,stool,,Male,Chow,1/27/24,9:30,CharlesRiver,CDD01,18,T,F,21.8,19,-12.8440367,90.7,,,,,,,,,
CDD01.CR.LFLF.1.18,stool,,Male,LFLF,1/27/24,9:30,CharlesRiver,CDD01,18,T,F,23.6,24.7,4.661016949,89.8,,,,,,,,,
CDD01.CR.LFLF.2.18,stool,,Male,LFLF,1/27/24,9:30,CharlesRiver,CDD01,18,T,F,22.6,22.9,1.327433628,87.8,,,,,,,,,
CDD01.CR.LFLF.3.18,stool,,Male,LFLF,1/27/24,9:30,CharlesRiver,CDD01,18,T,F,23.3,24.2,3.862660944,90.4,,,,,,,,,
CDD01.Tc.Chow.1.19,stool,,Male,Chow,1/28/24,9:30,Taconic,CDD01,19,T,F,25.4,25.7,1.181102362,90.3,,,,,,,,,
CDD01.Tc.Chow.2.19,stool,,Male,Chow,1/28/24,9:30,Taconic,CDD01,19,T,F,22.3,22.3,0,91.4,,,,,,,,,
