group2	day_post_inf	group1	.y.	n1	n2	statistic	p	p.adj	p.adj.signif	group1_means	group2_means	diff_means	stat_diff_means
LF/HF	-15	HF/LF	shannon_entropy	32	19	0.7929367394039505	0.4278146807508631	0.9671540459411088	ns	3.81224811291536	4.063683838320251	-0.2514357254048907	0
LF/HF	-3	HF/LF	shannon_entropy	28	18	-2.545748365002037	0.010904376194513092	0.021808752389026183	*	2.621907250344474	1.643360475704421	0.9785467746400529	0.9785467746400529
LF/HF	-3	HF/HF	shannon_entropy	19	18	-0.19916792326952992	0.8421313902500648	0.9357015447222943	ns	1.6871302607253102	1.643360475704421	0.04376978502088935	0
LF/HF	-3	Chow	shannon_entropy	23	18	-3.3087810887853104	9.370307162802101e-4	0.004685153581401051	**	2.6011670859240836	1.643360475704421	0.9578066102196627	0.9578066102196627
LF/HF	-8	HF/HF	shannon_entropy	18	17	-0.3606494482062632	0.7183615192250892	0.7981794658056547	ns	4.221227722955156	4.127006596234386	0.09422112672076999	0
LF/HF	-8	HF/LF	shannon_entropy	25	17	0.048272273731016994	0.961499251142663	0.961499251142663	ns	4.187212585898464	4.127006596234386	0.06020598966407764	0
LF/HF	-8	Chow	shannon_entropy	22	17	1.515317271841372	0.12969207639714977	0.18527439485307112	ns	3.935844002055878	4.127006596234386	-0.191162594178508	0
LF/HF	0	HF/LF	shannon_entropy	28	17	1.258262768314165	0.20829674131541073	0.2975667733077296	ns	1.9652003764887351	2.2044287144715318	-0.23922833798279663	0
LF/HF	0	HF/HF	shannon_entropy	18	17	0.48514708522684985	0.6275720140827621	0.6275720140827621	ns	2.1108456969779175	2.2044287144715318	-0.0935830174936143	0
LF/HF	0	Chow	shannon_entropy	24	17	-2.931843851386792	0.0033695612003797376	0.008423903000949345	**	2.8060754303742788	2.2044287144715318	0.601646715902747	0.601646715902747
LF/HF	3	Chow	shannon_entropy	14	2	-2.4214845177256974	0.015457259462897747	0.05152419820965916	ns	3.7869118657595795	2.58950840241435	1.1974034633452293	0
LF/HF	3	HF/LF	shannon_entropy	6	2	-0.7408718708604465	0.4587711324699035	0.7806363525244676	ns	2.9956363818923277	2.58950840241435	0.4061279794779775	0
LF/HF	3	HF/HF	shannon_entropy	1	2	0.04490132550669373	0.9641859603103198	0.9641859603103198	ns	2.5191870107703864	2.58950840241435	-0.07032139164396378	0
LF/LF	-15	LF/HF	shannon_entropy	19	29	-0.698422024770049	0.4849133064417843	0.9671540459411088	ns	4.063683838320251	3.9753930194111153	0.08829081890913537	0
LF/LF	-15	Chow	shannon_entropy	25	29	-0.5178203656042148	0.6045836076729303	0.9671540459411088	ns	3.9833871189508434	3.9753930194111153	0.007994099539728072	0
LF/LF	-15	HF/LF	shannon_entropy	32	29	0.09170862564715133	0.926929544000531	0.9671540459411088	ns	3.81224811291536	3.9753930194111153	-0.1631449064957553	0
LF/LF	-15	HF/HF	shannon_entropy	15	29	-0.6034384235648931	0.5462170675098926	0.9671540459411088	ns	3.9942268237981033	3.9753930194111153	0.018833804386988007	0
LF/LF	-3	HF/LF	shannon_entropy	28	27	-2.8740546708778427	0.004052388090180627	0.010130970225451568	*	2.621907250344474	1.7334511393659788	0.888456110978495	0.888456110978495
LF/LF	-3	HF/HF	shannon_entropy	19	27	-0.23917247545566295	0.8109718447662886	0.9357015447222943	ns	1.6871302607253102	1.7334511393659788	-0.046320878640668584	0
LF/LF	-3	LF/HF	shannon_entropy	18	27	-0.020078141533757633	0.9839810371599644	0.9839810371599644	ns	1.643360475704421	1.7334511393659788	-0.09009066366155793	0
LF/LF	-3	Chow	shannon_entropy	23	27	-3.69114715373793	2.2324492878047844e-4	0.0022324492878047844	**	2.6011670859240836	1.7334511393659788	0.8677159465581048	0.8677159465581048
LF/LF	-8	LF/HF	shannon_entropy	17	26	2.4916787097105217	0.012714098854990198	0.042380329516633994	*	4.127006596234386	4.534475440647122	-0.4074688444127359	-0.4074688444127359
LF/LF	-8	HF/HF	shannon_entropy	18	26	2.1368221797292186	0.03261245742341736	0.0815311435585434	ns	4.221227722955156	4.534475440647122	-0.3132477176919659	0
LF/LF	-8	Chow	shannon_entropy	22	26	4.372012139019431	1.231066788850118e-5	1.231066788850118e-4	***	3.935844002055878	4.534475440647122	-0.5986314385912439	-0.5986314385912439
LF/LF	-8	HF/LF	shannon_entropy	25	26	2.8286878245390628	0.004673926579727628	0.02336963289863814	*	4.187212585898464	4.534475440647122	-0.34726285474865826	-0.34726285474865826
LF/LF	0	HF/HF	shannon_entropy	18	28	-1.4714283725290325	0.14117530509349355	0.2352921751558226	ns	2.1108456969779175	1.7507975787395902	0.3600481182383273	0
LF/LF	0	HF/LF	shannon_entropy	28	28	-0.8296387723647182	0.40674304838990205	0.5084288104873775	ns	1.9652003764887351	1.7507975787395902	0.21440279774914495	0
LF/LF	0	LF/HF	shannon_entropy	17	28	-1.9794071790140908	0.0477701808803045	0.095540361760609	ns	2.2044287144715318	1.7507975787395902	0.4536311357319416	0
LF/LF	0	Chow	shannon_entropy	24	28	-5.52893740285767	3.2217626959470785e-8	3.221762695947078e-7	****	2.8060754303742788	1.7507975787395902	1.0552778516346886	1.0552778516346886
LF/LF	3	Chow	shannon_entropy	14	8	-3.2305164674426434	0.0012356678608971428	0.012356678608971428	*	3.7869118657595795	2.7534368878684146	1.033474977891165	1.033474977891165
LF/LF	3	HF/HF	shannon_entropy	1	8	0.42774257407630045	0.6688385500676479	0.7806363525244676	ns	2.5191870107703864	2.7534368878684146	-0.23424987709802814	0
LF/LF	3	HF/LF	shannon_entropy	6	8	-0.3818498812324485	0.7025727172720209	0.7806363525244676	ns	2.9956363818923277	2.7534368878684146	0.24219949402391316	0
LF/LF	3	LF/HF	shannon_entropy	2	8	0.504316049139183	0.6140393011992632	0.7806363525244676	ns	2.58950840241435	2.7534368878684146	-0.16392848545406435	0
