	shannon_entropy
54.9948.0628	1.7457622378665356
54.9949.0628	0.8117037051792266
54.9950.0628	2.030654317467658
54.9951.0628	0.1815392589612149
54.9952.0628	1.1805537457084712
54.9953.0628	0.6154869737124865
61.9961.0627	4.380800108317793
61.9962.0627	4.681614195327229
61.9963.0627	4.379652675324617
61.9964.0627	3.5466561753776227
61.9965.0627	3.729100680415286
61.9966.0627	4.566518932955258
61.9967.0627	5.3553909688036265
61.9968.0627	3.8929817122513315
61.9969.0627	3.614294886180347
61.9970.0627	4.591828216554022
61.9971.0627	3.7615367120987786
61.9972.0627	3.329848294318315
61.9973.0627	5.015495833147521
61.9974.0627	4.672614482097939
61.9975.0627	5.326021151528247
62.9961.0704	3.7178856880891575
62.9962.0704	4.636007814841348
62.9963.0704	4.289030208170594
62.9964.0704	3.829122905894984
62.9965.0704	3.8607163661802417
62.9966.0704	4.801573383072331
62.9967.0704	4.528476031902492
62.9968.0704	4.87615671994301
62.9969.0704	4.558032181913399
62.9970.0704	5.136691475230762
62.9972.0704	4.606973273935433
62.9973.0704	4.096468982251165
62.9974.0704	4.644606928418731
62.9975.0704	4.00590550720817
63.9961.0709	2.956416423544774
63.9962.0709	3.3480306623954394
63.9963.0709	2.4414075772478188
63.9964.0709	3.1085639324709624
63.9965.0709	2.8371013054050676
63.9966.0709	4.961466778551531
63.9967.0709	0.03383262754256903
63.9968.0709	0.2353844025536837
63.9969.0709	0.3202908415023844
63.9970.0709	3.5265298099675486
63.9971.0709	2.282773741735848
63.9972.0709	4.351445528005099
63.9973.0709	3.4893689103503727
63.9974.0709	3.8174867603697202
63.9975.0709	4.751296486654528
64.9961.0712	2.3147110341604664
64.9962.0712	2.581790862168525
64.9963.0712	2.52908890657248
64.9964.0712	2.5924115413901823
64.9965.0712	2.447176175072538
64.9966.0712	2.0184424139389785
64.9967.0712	0.7862001275872209
64.9968.0712	0.7930391532394819
64.9969.0712	1.0147353547636448
64.9970.0712	3.119756678005119
64.9971.0712	0.8957007057872269
64.9972.0712	1.9054367641372192
64.9973.0712	3.058428721475187
64.9974.0712	3.0701111726743457
64.9975.0712	1.9826135924994142
71.100.0801	4.98070360228453
71.101.0801	4.278444739113485
71.102.0801	3.8346820993850455
71.103.0801	3.6895793308909903
71.104.0801	4.254133060152851
71.105.0801	4.332970433330271
71.106.0801	5.860493786056632
71.107.0801	4.440532397723282
71.108.0801	4.16861409508368
71.109.0801	4.129819398675125
71.110.0801	3.903630063520942
71.111.0801	4.408794397527254
71.112.0801	3.883729323668281
71.113.0801	0.9999999912069218
71.114.0801	4.5813870337911204
71.115.0801	4.515379211106963
71.116.0801	4.408082020925647
71.117.0801	4.745810516246397
71.118.0801	4.4472525946194095
71.98.0801	4.402380883080682
71.99.0801	4.175874590478019
72.100.0808	5.331085706243548
72.101.0808	4.707542563238176
72.103.0808	4.427781306798591
72.105.0808	4.082318834429203
72.108.0808	3.6619181898560553
72.111.0808	4.270643415126306
72.112.0808	4.199830321065237
72.113.0808	4.202715188847089
72.114.0808	1.9189161687161205
72.115.0808	4.078445455775794
72.116.0808	5.5487474296021775
72.99.0808	4.8309929223208075
73.100.0813	1.7681800651876294
73.101.0813	1.7637529417696058
73.102.0813	1.9676918788184035
73.103.0813	2.355855380878616
73.104.0813	1.7684423186768294
73.105.0813	2.2734390163577998
73.106.0813	0.7920638644082106
73.107.0813	1.3170907983269868
73.111.0813	5.616132983711987
73.112.0813	4.725144481643467
73.113.0813	1.3471803191494505
73.114.0813	1.7559960592210209
73.115.0813	1.6461048183653881
73.117.0813	1.611683327097904
73.98.0813	2.061602531852277
74.100.0816	2.3035643831321173
74.101.0816	2.743120922491982
74.102.0816	1.8478635327121429
74.103.0816	2.0596525564424844
74.105.0816	2.0341889782705334
74.106.0816	1.798674199300748
74.107.0816	1.0634485993517413
74.108.0816	1.2136803602147814
74.109.0816	1.7086435251559489
74.110.0816	6.099990591934782
74.111.0816	1.6227329202429417
74.113.0816	0.9989657117511971
74.114.0816	2.7091019630266375
74.115.0816	2.9914261084325884
74.116.0816	3.585928454116651
74.117.0816	3.670137640127781
74.98.0816	1.9553073531725111
74.99.0816	1.8458290888001359
Chow1.042122	3.8317727220665496
Chow1.050622	5.147956853709801
Chow1.070122	2.9825291764413597
Chow1.081222	5.5928982406105305
Chow2.042122	4.628899576721083
Chow2.050622	4.98215742196836
Chow2.070122	2.5093657324292464
Chow2.071522	2.599171914022446
Chow2.081222	4.218436425662514
Chow3.042122	4.34259244661953
Chow3.050622	5.14760747072299
Chow3.070122	2.7566346421767336
Chow3.071522	4.984549909308929
Chow3.081222	3.991367395106299
Chow4.042122	4.689127186009834
Chow4.050622	5.27218285406713
Chow4.081222	3.752566981599545
Chow5.042122	4.630303622733481
Ctrl1.042122	2.6635607716647027
Ctrl1.061722	3.3033825260591834
Ctrl1.070122	2.150495843741577
Ctrl1.071522	1.9471885408166179
Ctrl1.081222	2.2490602555032937
Ctrl2.042122	4.245799110763701
Ctrl2.060322	1.8268659899120971
Ctrl2.061722	2.902423896580646
Ctrl2.070122	2.747662863000833
Ctrl2.071522	2.0842242228260837
Ctrl2.081222	2.145426162653885
Ctrl3.042122	3.60226120868046
Ctrl3.061722	3.395230833160364
Ctrl3.070122	2.3868153095617806
Ctrl3.071522	2.351709494898332
Ctrl3.081222	1.9638383474234669
Ctrl4.042122	3.8066329760698623
Ctrl4.070122	2.6099835610033892
Ctrl4.071522	1.725300335641762
Ctrl5.042122	3.496079896609669
Ctrl5.061722	2.7704009017580047
CtrlF1.050622	2.872235069320678
CtrlF1.060322	2.86002698647038
CtrlF2.060322	1.8234947627691738
CtrlF2.061722	1.8063715721361213
CtrlF3.060322	2.3996793641873215
CtrlF3.061722	1.8240393856880401
CtrlF4.060322	2.368233490877364
CtrlF4.061722	1.9797984738460632
CtrlF5.060322	2.5012919829878877
