sample	ko	taxon	taxon_abun	taxon_rel_abun	genome_function_count	taxon_function_abun	taxon_rel_function_abun	norm_taxon_function_contrib
Chow1.070122	K01034	3bc0d26f0f3b6649efea6baf46febf16	1928	3.104636891137711	2	3856	6.209273782275422	0.27621776504297996
Chow1.070122	K01034	853bc0df4f511a52189a133d996cd9fb	62	0.09983790832496788	1	62	0.09983790832496788	0.00444126074498567
Chow1.070122	K01034	b637c59bb27abbcc9f6825942b238091	100	0.16102888439510948	2	200	0.32205776879021897	0.01432664756446991
Chow1.070122	K01034	ca344e0c09ed83afd9798f6e0febcc31	92	0.1481465736435007	1	92	0.1481465736435007	0.00659025787965616
Chow1.070122	K01034	e35528f6aaa72ec05c0d6b5fe8897d8c	9	0.01449259959555985	1	9	0.01449259959555985	6.4469914040114e-4
Chow1.070122	K15874	5eefe1c67a4852bd62c90dbcd2053008	82	0.13204368520398976	1	82	0.13204368520398976	1
Chow1.081222	K00929	0e9a7f07cfe743f6ff851d5ba293d44a	321	0.3689010655609595	1	321	0.3689010655609595	0.01051082959260221
Chow1.081222	K00929	2092cc518e136fe01873b6753ce64e3c	426	0.48956963840800227	1	426	0.48956963840800227	0.01394895142195807
Chow1.081222	K00929	2f8fb9f33ead03470795e5ecb22f0e4c	673	0.7734280907243792	1	673	0.7734280907243792	0.02203672372529996
Chow1.081222	K00929	2fa024900c15a559fd420ceb6de7d93c	22	0.02528293907271373	1	22	0.02528293907271373	7.203683832936e-4
Chow1.081222	K00929	343041f8768862350e157e72fdead68d	75	0.08619183774788773	3	225	0.2585755132436632	0.00736740392004827
Chow1.081222	K00929	3641a26581c67658b40a2a79c34c0a7b	1145	1.3158620562844192	2	2290	2.6317241125688384	0.07498379989738024
Chow1.081222	K00929	52a44013a743c006ae6b79c1c4a7082e	2906	3.339646406604823	2	5812	6.679292813209646	0.19030822925920263
Chow1.081222	K00929	55d263941c18518b38080c592892c949	156	0.17927902251560648	1	156	0.17927902251560648	0.00510806671790013
Chow1.081222	K00929	56806093f1e8cd1ddcacbfd93a7678d4	702	0.8067556013202292	1	702	0.8067556013202292	0.02298630023055062
Chow1.081222	K00929	575607cb205ceac8d5be533b6181f37c	16.5	0.0189622043045353	1	16.5	0.0189622043045353	5.402762874702e-4
Chow1.081222	K00929	5842fb35cb0a50b6b15a8b6d267e2ba7	209	0.24018792119078047	1	209	0.24018792119078047	0.00684349964128928
Chow1.081222	K00929	5a2f127b35756159c6067ad886b357be	929	1.0676295635705026	1	929	1.0676295635705026	0.03041919218544377
Chow1.081222	K00929	5eefe1c67a4852bd62c90dbcd2053008	48	0.05516277615864815	2	96	0.1103255523172963	0.00314342567255393
Chow1.081222	K00929	652c802f707157861cc2c154b9a10897	87	0.09998253178754976	1	87	0.09998253178754976	0.002848729515752
