group2	day_post_inf.y	group1	.y.	n1	n2	statistic	p	p.adj	p.adj.signif	group1_dist	group2_dist	diff_means	stat_diff_means
LF/LF	-8	HF/HF	dist	153	210	-4.995279499619358	5.875061654733499e-7	1.9583538849111662e-6	****	0.4565553698683049	0.4040281944569949	0.05252717541131002	0.05252717541131002
LF/LF	-8	Chow	dist	136	210	-5.298729035128907	1.1661153648505909e-7	5.830576824252954e-7	****	0.45310457370952373	0.4040281944569949	0.049076379252528834	0.049076379252528834
LF/LF	-8	LF/HF	dist	136	210	-6.0831035580842805	1.1787815524251147e-9	1.1787815524251147e-8	****	0.4903846970904764	0.4040281944569949	0.08635650263348149	0.08635650263348149
LF/LF	-8	HF/LF	dist	190	210	-3.7215883531913936	1.9797357167007363e-4	4.949339291751841e-4	***	0.43535993221857133	0.4040281944569949	0.03133173776157644	0.03133173776157644
LF/LF	0	HF/LF	dist	253	253	-6.542171611827994	6.06318680330571e-11	1.5157967008264277e-10	****	0.6890820816071096	0.6044247149780617	0.08465736662904788	0.08465736662904788
LF/LF	0	LF/HF	dist	136	253	5.431978629683306	5.5732598389646774e-8	7.961799769949539e-8	****	0.49622672026860526	0.6044247149780617	-0.10819799470945646	-0.10819799470945646
LF/LF	0	HF/HF	dist	153	253	6.4547688320114265	1.0838421777674648e-10	1.865880750790032e-10	****	0.4928191523882494	0.6044247149780617	-0.1116055625898123	-0.1116055625898123
LF/LF	0	Chow	dist	171	253	6.44986091628164	1.1195284504740191e-10	1.865880750790032e-10	****	0.49278068094072747	0.6044247149780617	-0.11164403403733425	-0.11164403403733425
LF/LF	3	HF/HF	dist	10	120	-0.26234536099164674	0.7930551932829814	0.8862399997856963	ns	0.5248466219574259	0.5112254659618203	0.01362115599560565	0
LF/LF	3	HF/LF	dist	153	120	-0.14306353970478738	0.8862399997856963	0.8862399997856963	ns	0.5128454824928921	0.5112254659618203	0.0016200165310717995	0
LF/LF	3	Chow	dist	78	120	-4.626495941077604	3.719041524842218e-6	1.859520762421109e-5	****	0.5904385712300857	0.5112254659618203	0.07921310526826542	0.07921310526826542
LF/LF	3	LF/HF	dist	36	120	-2.4360541179675597	0.014848462852940454	0.04044607166565438	*	0.5634220127483446	0.5112254659618203	0.0521965467865243	0.0521965467865243
