diet	sampleid	day_post_inf	sample_type	mouse_id	high_fat	high_fiber	purified_diet	seq_depth	facility	study
LF/LF	3_0523_9845	-8	colon	9845	0	0	1	41824	barrier_1	3
LF/LF	3_0516_9842	-15	colon	9842	0	0	0	33762	barrier_1	3
LF/LF	3_0523_9842	-8	colon	9842	0	0	1	33701	barrier_1	3
LF/LF	1_0403_9686	-15	colon	9686	0	0	0	41857	barrier_2	1
LF/LF	1_0410_9686	-8	colon	9686	0	0	1	51810	barrier_2	1
LF/LF	1_0415_9737	-3	colon	9686	0	0	1	44511	barrier_2	1
LF/LF	1_0418_9737	0	colon	9686	0	0	1	33806	barrier_2	1
LF/LF	1_0403_9689	-15	colon	9689	0	0	0	48879	barrier_2	1
LF/LF	1_0410_9689	-8	colon	9689	0	0	1	44951	barrier_2	1
LF/LF	1_0415_9689	-3	colon	9689	0	0	1	49762	barrier_2	1
LF/LF	1_0418_9689	0	colon	9689	0	0	1	43534	barrier_2	1
LF/LF	1_0403_9692	-15	colon	9692	0	0	0	37405	barrier_2	1
LF/LF	1_0410_9692	-8	colon	9692	0	0	1	40140	barrier_2	1
LF/LF	1_0415_9735	-3	colon	9692	0	0	1	19389	barrier_2	1
LF/LF	1_0418_9692	0	colon	9692	0	0	1	40719	barrier_2	1
LF/LF	1_0403_9697	-15	colon	9697	0	0	0	34171	barrier_2	1
LF/LF	1_0410_9697	-8	colon	9697	0	0	1	47817	barrier_2	1
LF/LF	1_0415_9736	-3	colon	9697	0	0	1	9163	barrier_2	1
LF/LF	1_0418_9736	0	colon	9697	0	0	1	34515	barrier_2	1
LF/LF	1_0403_9698	-15	colon	9698	0	0	0	36911	barrier_2	1
LF/LF	1_0410_9698	-8	colon	9698	0	0	1	55168	barrier_2	1
LF/LF	1_0415_9698	-3	colon	9698	0	0	1	6535	barrier_2	1
LF/LF	1_0418_9698	0	colon	9698	0	0	1	29132	barrier_2	1
LF/HF	2_0418_9745	-15	colon	9745	0	0	0	37497	barrier_2	2
LF/HF	2_0425_9745	-8	colon	9745	0	1	1	44127	barrier_2	2
LF/HF	2_0430_9745	-3	colon	9745	0	1	1	51609	barrier_2	2
LF/HF	2_0503_9745	0	colon	9745	0	1	1	50025	barrier_2	2
LF/HF	2_0418_9746	-15	colon	9746	0	0	0	42063	barrier_2	2
LF/HF	2_0425_9746	-8	colon	9746	0	1	1	52431	barrier_2	2
LF/HF	2_0430_9746	-3	colon	9746	0	1	1	49428	barrier_2	2
LF/HF	2_0503_9746	0	colon	9746	0	1	1	62072	barrier_2	2
LF/HF	2_0418_9747	-15	colon	9747	0	0	0	45562	barrier_2	2
LF/HF	2_0425_9747	-8	colon	9747	0	1	1	47570	barrier_2	2
LF/HF	2_0430_9747	-3	colon	9747	0	1	1	40890	barrier_2	2
LF/HF	2_0503_9747	0	colon	9747	0	1	1	39503	barrier_2	2
LF/HF	2_0418_9748	-15	colon	9748	0	0	0	37814	barrier_2	2
LF/HF	2_0425_9748	-8	colon	9748	0	1	1	39919	barrier_2	2
LF/HF	2_0430_9748	-3	colon	9748	0	1	1	167423	barrier_2	2
LF/HF	2_0503_9748	0	colon	9748	0	1	1	38570	barrier_2	2
LF/HF	2_0418_9749	-15	colon	9749	0	0	0	41273	barrier_2	2
LF/HF	2_0425_9749	-8	colon	9749	0	1	1	46151	barrier_2	2
LF/HF	2_0430_9749	-3	colon	9749	0	1	1	34338	barrier_2	2
LF/HF	2_0503_9749	0	colon	9749	0	1	1	40374	barrier_2	2
LF/HF	3_0516_9831	-15	colon	9831	0	0	0	45158	barrier_1	3
LF/HF	3_0523_9831	-8	colon	9831	0	1	1	29520	barrier_1	3
LF/HF	3_0516_9832	-15	colon	9832	0	0	0	33808	barrier_1	3
LF/HF	3_0523_9832	-8	colon	9832	0	1	1	32433	barrier_1	3
LF/HF	3_0516_9833	-15	colon	9833	0	0	0	36151	barrier_1	3
LF/HF	3_0516_9834	-15	colon	9834	0	0	0	37279	barrier_1	3
LF/HF	3_0516_9835	-15	colon	9835	0	0	0	37750	barrier_1	3
LF/HF	3_0523_9835	-8	colon	9835	0	1	1	31165	barrier_1	3
HF/LF	2_0418_9751	-15	colon	9751	0	0	0	44643	barrier_2	2
HF/LF	2_0418_9752	-15	colon	9752	0	0	0	43651	barrier_2	2
HF/LF	2_0418_9753	-15	colon	9753	0	0	0	43057	barrier_2	2
HF/LF	2_0418_9754	-15	colon	9754	0	0	0	40098	barrier_2	2
