sample_type,mouse_id,high_fat,high_fiber,purified_diet,facility,study,diet,histopathology,bile_acid,metabolomics,toxin,hypoxia,sequencing
colon,9749,0,1,1,2,2,LF/HF,0,0,0,0,0,1
colon,9749,0,1,1,2,2,LF/HF,0,0,0,0,0,1
colon,9749,0,1,1,2,2,LF/HF,0,0,0,0,0,1
colon,9831,0,0,0,1,3,LF/HF,0,0,0,0,0,1
colon,9831,0,1,1,1,3,LF/HF,0,0,0,0,0,1
colon,9832,0,0,0,1,3,LF/HF,0,0,0,0,0,1
colon,9832,0,1,1,1,3,LF/HF,0,0,0,0,0,1
colon,9833,0,0,0,1,3,LF/HF,0,0,0,0,0,1
colon,9834,0,0,0,1,3,LF/HF,0,0,0,0,0,1
colon,9835,0,0,0,1,3,LF/HF,0,0,0,0,0,1
colon,9835,0,1,1,1,3,LF/HF,0,0,0,0,0,1
colon,9751,0,0,0,2,2,HF/LF,0,0,0,0,0,1
colon,9752,0,0,0,2,2,HF/LF,0,0,0,0,0,1
colon,9753,0,0,0,2,2,HF/LF,0,0,0,0,0,1
colon,9754,0,0,0,2,2,HF/LF,0,0,0,0,0,1
colon,9848,0,0,0,1,3,HF/LF,0,0,0,0,0,1
colon,9846,0,0,0,1,3,HF/LF,0,0,0,0,0,1
colon,9846,1,0,1,1,3,HF/LF,0,0,0,0,0,1
colon,9847,0,0,0,1,3,HF/LF,0,0,0,0,0,1
colon,9847,1,0,1,1,3,HF/LF,0,0,0,0,0,1
colon,9848,1,0,1,1,3,HF/LF,0,0,0,0,0,1
colon,9849,0,0,0,1,3,HF/LF,0,0,0,0,0,1
colon,9851,0,0,0,1,3,HF/LF,0,0,0,0,0,1
colon,9687,0,0,0,2,1,HF/LF,0,0,0,0,0,1
colon,9687,1,0,1,2,1,HF/LF,0,0,0,0,0,1
colon,9687,1,0,1,2,1,HF/LF,0,0,0,0,0,1
colon,9687,1,0,1,2,1,HF/LF,0,0,0,0,0,1
colon,9691,0,0,0,2,1,HF/LF,0,0,0,0,0,1
colon,9691,1,0,1,2,1,HF/LF,0,0,0,0,0,1
colon,9691,1,0,1,2,1,HF/LF,0,0,0,0,0,1
colon,9691,1,0,1,2,1,HF/LF,0,0,0,0,0,1
colon,9693,0,0,0,2,1,HF/LF,0,0,0,0,0,1
colon,9693,1,0,1,2,1,HF/LF,0,0,0,0,0,1
colon,9693,1,0,1,2,1,HF/LF,0,0,0,0,0,1
colon,9693,1,0,1,2,1,HF/LF,0,0,0,0,0,1
