#SampleID	faith_pd
3_0523_9836	31.98028012902842
3_0523_9837	33.88739321026594
3_0523_9838	34.38325886775965
3_0523_9839	31.52653166218488
3_0523_9840	34.26897168367208
3_0523_9841	35.13498645938427
3_0523_9842	38.72332474065939
3_0523_9843	37.33272052383262
3_0523_9844	32.98910429658667
3_0523_9845	36.79868874829577
3_0523_9846	31.83765443230772
3_0523_9847	35.20170733072405
3_0523_9848	31.5636155122794
3_0523_9859	33.04113765141133
33.9831.0528	8.353998024082387
33.9832.0528	7.630242943573364
33.9833.0528	9.735123386223279
33.9834.0528	14.90105432874708
33.9835.0528	9.114500611435801
33.9836.0528	6.086693633150617
33.9837.0528	7.391407549930591
33.9838.0528	12.94491101935597
33.9839.0528	13.48757673788157
33.9840.0528	12.68944945474578
33.9841.0528	14.46298823248668
33.9842.0528	10.06969686247317
33.9843.0528	11.46850040388682
33.9844.0528	13.18798216106222
33.9845.0528	8.418132225865747
33.9846.0528	18.84004586188803
33.9847.0528	9.232905665277201
33.9848.0528	17.67804144332854
33.9849.0528	11.40732265169908
33.9857.0528	12.57770697583851
34.9831.0531	12.81005878404306
34.9832.0531	7.878604666087028
34.9834.0531	11.80445665469296
34.9835.0531	9.797137495107961
34.9836.0531	9.720135052008686
34.9837.0531	8.309907097661096
34.9838.0531	5.430300361014417
34.9839.0531	8.233804628847508
34.9840.0531	7.943449360995771
34.9841.0531	9.189262032283978
34.9843.0531	7.345691028260831
34.9844.0531	9.650375814757354
34.9845.0531	7.176788593616664
34.9846.0531	9.767895504805722
34.9847.0531	7.304708176125871
34.9848.0531	10.56668046726975
34.9849.0531	7.166946294396155
34.9851.0531	7.613511269838227
41.9871.0530	43.51846802144871
41.9872.0530	49.11030892810447
41.9873.0530	57.83011899524303
41.9874.0530	50.05853007800283
41.9875.0530	39.88708698073947
41.9876.0530	60.84305437351134
41.9877.0530	58.04503245946455
41.9878.0530	61.96455049428812
41.9879.0530	44.00526250784316
41.9880.0530	46.16982079022216
41.9881.0530	52.1765416231944
41.9882.0530	46.67295898713576
41.9883.0530	55.49341995086075
41.9884.0530	51.15180013226319
41.9885.0530	37.53511856830403
41.9886.0530	31.9073880857112
41.9887.0530	47.41423709417336
41.9888.0530	37.69652737916806
41.9889.0530	50.79310677577979
41.9890.0530	53.89715272525018
42.9871.0606	37.59117889971924
42.9872.0606	45.11862224060661
42.9873.0606	46.24301064430779
42.9874.0606	44.47754095371045
42.9875.0606	34.78021777635252
42.9876.0606	44.46679900865053
42.9877.0606	50.33364211597262
42.9878.0606	46.00186195208744
42.9879.0606	43.42776567868725
42.9880.0606	46.61644121163528
42.9881.0606	41.33570036786057
42.9882.0606	42.23311823709236
42.9883.0606	38.56014390394074
42.9884.0606	44.11318313225729
42.9885.0606	43.05246789854095
42.9886.0606	35.1402875749402
42.9887.0606	31.87606995796409
42.9888.0606	34.64806526801664
42.9889.0606	39.51271376055865
42.9890.0606	36.86565082265128
43.9871.0611	6.062960214022326
43.9872.0611	12.06783716872388
43.9873.0611	10.27414089842136
43.9874.0611	21.34028494467373
43.9875.0611	8.881943523355517
43.9876.0611	8.813089278095163
43.9877.0611	14.91511706528502
43.9878.0611	10.48603270832928
43.9879.0611	10.48609182559915
43.9880.0611	12.38817083380542
43.9881.0611	10.84167599086641
43.9882.0611	18.82786631749485
43.9883.0611	4.837628261057716
43.9884.0611	13.72517337416394
43.9885.0611	9.33256254738609
43.9886.0611	36.05648491167221
43.9887.0611	18.55208469717297
43.9888.0611	17.30487685199358
43.9889.0611	10.18799006494368
43.9890.0611	22.60289289601337
44.9871.0614	17.07460110210803
44.9872.0614	8.561484228871791
44.9873.0614	8.010196331312784
44.9874.0614	15.96987014743377
44.9875.0614	17.99454468966405
44.9876.0614	13.62444039296469
44.9877.0614	19.24886443664184
44.9878.0614	11.6467399208737
44.9879.0614	14.84432090771764
44.9880.0614	13.16668199945696
44.9881.0614	11.69042119265538
44.9882.0614	15.0583163795672
44.9883.0614	9.371296493378281
44.9884.0614	13.20074460959904
44.9885.0614	10.44625182367383
44.9886.0614	10.15835258423158
44.9887.0614	5.75841857022516
44.9888.0614	4.566226473372922
44.9889.0614	11.10965258898824
44.9890.0614	5.908104208586849
51.9939.0613	50.04920949168087
