day_post_inf	.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif	y.position	groups	xmin	xmax
3	av_perc_change	HF/HF	LF/HF	12	12	-3.5476127576815006	3.88739313014004e-4	9.7184828253501e-4	***	9.097466666666667		2	4
3	av_perc_change	HF/LF	LF/HF	14	12	-7.079868741102815	1.4429106502145093e-12	1.4429106502145093e-11	****	12.628133333333333		3	4
3	av_perc_change	LF/HF	LF/LF	12	11	5.004279409757293	5.607137862574727e-7	1.8690459541915758e-6	****	16.1588		4	5
4	av_perc_change	chow	HF/LF	13	10	2.865226796444833	0.0041671067521221	0.0083342135042442	**	-0.12561333333333358		1	3
4	av_perc_change	chow	LF/HF	13	12	-3.8706866115298344	1.0852924029574458e-4	2.713231007393615e-4	***	1.5298533333333328		1	4
4	av_perc_change	HF/HF	HF/LF	10	10	4.465768411255133	7.978187681341246e-6	3.4855478594800256e-5	****	4.8407866666666655		2	3
4	av_perc_change	HF/HF	LF/LF	10	6	2.800580921478116	0.005101071625083372	0.00850178604180562	**	8.15172		2	5
4	av_perc_change	HF/LF	LF/HF	10	12	-6.43357652749485	1.2463579723717496e-10	1.2463579723717496e-9	****	9.807186666666666		3	4
4	av_perc_change	LF/HF	LF/LF	12	6	4.407508629776646	1.0456643578440077e-5	3.4855478594800256e-5	****	13.11812		4	5
5	av_perc_change	chow	HF/HF	14	9	-3.5969261814666544	3.219998156049271e-4	0.0010733327186830902	**	-5.56504		1	2
5	av_perc_change	chow	LF/HF	14	11	-5.674747011959785	1.388937668381325e-8	1.388937668381325e-7	****	-2.962906666666667		1	4
5	av_perc_change	chow	LF/LF	14	4	-5.024555723201537	5.045992788294639e-7	2.52299639414732e-6	****	-1.6618400000000007		1	5
5	av_perc_change	HF/HF	LF/LF	9	4	-2.1831015215886826	0.029028334560402817	0.048380557600671364	*	2.2413599999999985		2	5
5	av_perc_change	HF/LF	LF/HF	9	11	-3.1689290067824945	0.0015300176241031438	0.0030600352482062876	**	3.542426666666664		3	4
5	av_perc_change	HF/LF	LF/LF	9	4	-3.305839446977148	9.469232941834585e-4	0.0023673082354586463	**	4.843493333333331		3	5
6	av_perc_change	chow	HF/LF	14	8	-3.5175051311300023	4.3562392830605936e-4	0.002178119641530297	**	1.561800000000001		1	3
6	av_perc_change	chow	LF/HF	14	11	-5.911362789815698	3.3928882565286852e-9	3.3928882565286854e-8	****	3.7738000000000014		1	4
6	av_perc_change	chow	LF/LF	14	1	-2.803030084169316	0.005062494680477034	0.012656236701192584	*	5.985800000000002		1	5
6	av_perc_change	HF/HF	LF/HF	7	11	-3.0452474977838446	0.0023248890499955716	0.007749630166651905	**	10.409800000000002		2	4
7	av_perc_change	chow	HF/HF	14	7	-2.26260977304409	0.02365975514627679	0.04731951029255358	*	1.3203199999999997		1	2
7	av_perc_change	chow	HF/LF	14	3	-2.4302382487250678	0.015088900536372197	0.03772225134093049	*	4.551786666666667		1	3
7	av_perc_change	chow	LF/HF	14	11	-5.570444393966128	2.5409040314761677e-8	2.5409040314761677e-7	****	7.783253333333333		1	4
7	av_perc_change	chow	LF/LF	14	1	-2.746503883501633	0.0060234172893058845	0.030117086446529422	*	11.01472		1	5
7	av_perc_change	HF/HF	LF/HF	7	11	-2.4757530639849454	0.013295550023475627	0.03772225134093049	*	17.477653333333333		2	4
10	av_perc_change	chow	HF/HF	14	7	-2.3366081887461054	0.01945956628654864	0.0486489157163716	*	1.29684		1	2
10	av_perc_change	chow	LF/HF	14	11	-5.496952963701215	3.8640971259303866e-8	3.864097125930387e-7	****	3.698706666666667		1	4
10	av_perc_change	chow	LF/LF	14	1	-2.7368077245242124	0.0062038541664462205	0.0310192708322311	*	4.89964		1	5
10	av_perc_change	HF/HF	LF/HF	7	11	-2.3436621163067195	0.019095461572189547	0.0486489157163716	*	7.301506666666667		2	4
11	av_perc_change	chow	LF/HF	4	4	-2.852340978320049	0.004339852047488788	0.04339852047488788	*	5.1105599999999995		1	4
13	av_perc_change	chow	LF/HF	11	8	-2.609809266125056	0.009059271753121082	0.018118543506242164	*	9.770919999999998		1	4
13	av_perc_change	HF/HF	LF/HF	6	8	-4.2545118127372845	2.095055999865833e-5	2.095055999865833e-4	***	15.125319999999999		2	4
