Family	day_post_inf	term	estimate	std.error	statistic	p.value	signif
Enterococcaceae	3	high_fat	-0.03174142486051467	0.034566552482577624	-0.9182699048889273	0.3609050691728861	ns
Enterococcaceae	3	high_fiber	0.05603497320199629	0.034566552482577624	1.621074975013469	0.10846165621272677	ns
Enterococcaceae	3	high_fat:high_fiber	-0.004298292292937414	0.0491968514449943	-0.08736925568790152	0.9305699766360536	ns
Lachnospiraceae	-15	purified_diet	-0.055487919616982684	0.043451056796739364	-1.2770211752627978	0.20470722327672514	ns
Lachnospiraceae	-15	high_fat	0.06548626049481295	0.04345105679673937	1.507126991206509	0.1350963468718098	ns
Lachnospiraceae	-15	high_fiber	0.01068092646308777	0.043451056796739364	0.24581511361282435	0.806355653443492	ns
Lachnospiraceae	-15	high_fat:high_fiber	-0.005503658471523284	0.061449073821392475	-0.08956454718129984	0.928821813461223	ns
Lachnospiraceae	3	purified_diet	-0.012821816436308585	0.002585681976048634	-4.958775501039196	3.2738491288484583e-6	****
Lachnospiraceae	3	high_fat	-0.0010252888098368617	0.002585681976048634	-0.3965254889557915	0.6926457367541428	ns
Lachnospiraceae	3	high_fiber	-9.16458434355685e-4	0.0025856819760486337	-0.3544358675370399	0.7238322769484526	ns
Lachnospiraceae	3	high_fat:high_fiber	0.005529675431884266	0.0036800722931157087	1.5025996750739379	0.13640471082339128	ns
Morganellaceae	-15	purified_diet	-8.520737715823851e-6	6.165475396586122e-5	-0.1382008226087782	0.8903742208621969	ns
Morganellaceae	-15	high_fat	1.6000750232870602e-5	6.165475396586124e-5	0.259521759534234	0.7957942654512538	ns
Morganellaceae	-15	high_fiber	-4.850573571704212e-5	6.165475396586122e-5	-0.7867314780608835	0.43339728212770845	ns
Morganellaceae	-15	high_fat:high_fiber	9.35031706837226e-5	8.719298924329732e-5	1.0723702845284704	0.28627035383079963	ns
Morganellaceae	3	purified_diet	-0.0160456176412303	0.034641469444010135	-0.46319102216966584	0.6443333169540197	ns
Morganellaceae	3	high_fat	0.049529768327353466	0.03464146944401013	1.4297825445137888	0.15620377418615577	ns
Morganellaceae	3	high_fiber	0.04275228723819318	0.03464146944401012	1.2341360780694453	0.22032991786655892	ns
Morganellaceae	3	high_fat:high_fiber	-0.06947347629447194	0.0493034770225425	-1.4090989214149607	0.16221396673101005	ns
Peptostreptococcaceae	-15	purified_diet	2.4943701810391065e-4	0.004091270282564518	0.060968110360960275	0.9515126864255471	ns
Peptostreptococcaceae	-15	high_fat	-0.004588124801432886	0.004091270282564519	-1.1214426045098456	0.2649261985857252	ns
Peptostreptococcaceae	-15	high_fiber	-0.005058513469736696	0.004091270282564518	-1.2364163500256171	0.21935197902696596	ns
Peptostreptococcaceae	-15	high_fat:high_fiber	0.003201249325394919	0.005785929920936747	0.5532817315693713	0.58137026671288194	ns
Peptostreptococcaceae	3	purified_diet	-0.048947169484496726	0.010323056425870399	-4.741538500344843	7.811322514886427e-6	****
Peptostreptococcaceae	3	high_fat	0.009721828224336105	0.010323056425870399	0.9417587023909345	0.3488095932972396	ns
Peptostreptococcaceae	3	high_fiber	0.060796766181459565	0.010323056425870395	5.889415273280699	6.430503688374319e-8	****
Peptostreptococcaceae	3	high_fat:high_fiber	-0.007660115331076318	0.014692291737737348	-0.5213696724658148	0.6033758340544092	ns
Ruminococcaceae	-15	purified_diet	-0.004971989037778001	0.0027324157438279456	-1.8196312362087883	0.07196474467145593	ns
Ruminococcaceae	-15	high_fat	0.0022330195508779476	0.0027324157438279456	0.8172327201385632	0.4158402665898424	ns
Ruminococcaceae	-15	high_fiber	6.166879860266236e-4	0.0027324157438279456	0.2256933218964263	0.8219247834467688	ns
Ruminococcaceae	-15	high_fat:high_fiber	-8.380921382486879e-4	0.00386421940296325	-0.21688523627980408	0.8287628724523021	ns
