sampleid	asv
1_0403_9686	747f2349a5e05816a56c75007ae79e3e
1_0403_9686	7a61da82e043fc2e0252934cfc718753
1_0403_9686	81130df1bed6e198d82304f9995c455b
1_0403_9686	8659f12bab87bc12c0b096be47238c98
1_0403_9686	86e2c0621f63f15e551833709c6f3238
1_0403_9686	88ab9af7bd6d8a09c14a812cb2082a79
1_0403_9686	8ba742f68eac37fe13c4b1904dbecfc1
1_0403_9686	98b130d293e8f892f43eb8cd1cab1e71
1_0403_9686	bcaa663b6ba40455634757464f104af0
1_0403_9686	c544ed46d118037e56fb14b964ddb15b
1_0403_9686	cae2da4e292bc63db3f85b6febdab924
1_0403_9686	d357b6e47248af689125119c1e487510
1_0403_9686	e1d0794790521a5fa5fd22f9628cb981
1_0403_9686	e2bebd0eb850939e3ab5c3627bc5f261
1_0403_9686	efe6d368dc9bc431d6aaaf795ab9df54
1_0403_9686	f02ccb4b14c74c9d4e485d482bb8c61c
1_0403_9686	f1a19f355668a8aab3c8152791b1cffc
1_0403_9686	fe4c45af45a1ced6777398479ca5025b
