sampleid	diet	day_post_inf	mouse_id	high_fat	high_fiber	purified_diet
33.9834.0528	LF/HF	-3	9834	0	1	1
33.9835.0528	LF/HF	-3	9835	0	1	1
33.9836.0528	HF/HF	-3	9836	1	1	1
33.9837.0528	HF/HF	-3	9837	1	1	1
33.9838.0528	HF/HF	-3	9838	1	1	1
33.9839.0528	HF/HF	-3	9839	1	1	1
33.9840.0528	HF/HF	-3	9840	1	1	1
33.9841.0528	LF/LF	-3	9841	0	0	1
33.9842.0528	LF/LF	-3	9842	0	0	1
33.9843.0528	LF/LF	-3	9843	0	0	1
33.9844.0528	LF/LF	-3	9844	0	0	1
33.9845.0528	LF/LF	-3	9845	0	0	1
33.9846.0528	HF/LF	-3	9846	1	0	1
33.9847.0528	HF/LF	-3	9847	1	0	1
33.9848.0528	HF/LF	-3	9848	1	0	1
33.9849.0528	HF/LF	-3	9849	1	0	1
33.9857.0528	HF/LF	-3	9851	1	0	1
34.9831.0531	LF/HF	0	9831	0	1	1
34.9832.0531	LF/HF	0	9832	0	1	1
34.9834.0531	LF/HF	0	9834	0	1	1
34.9835.0531	LF/HF	0	9835	0	1	1
34.9836.0531	HF/HF	0	9836	1	1	1
34.9837.0531	HF/HF	0	9837	1	1	1
34.9838.0531	HF/HF	0	9838	1	1	1
34.9839.0531	HF/HF	0	9839	1	1	1
34.9840.0531	HF/HF	0	9840	1	1	1
34.9841.0531	LF/LF	0	9841	0	0	1
34.9843.0531	LF/LF	0	9843	0	0	1
34.9844.0531	LF/LF	0	9844	0	0	1
34.9845.0531	LF/LF	0	9845	0	0	1
34.9846.0531	HF/LF	0	9846	1	0	1
34.9847.0531	HF/LF	0	9847	1	0	1
34.9848.0531	HF/LF	0	9848	1	0	1
34.9849.0531	HF/LF	0	9849	1	0	1
34.9851.0531	HF/LF	0	9851	1	0	1
41.9871.0530	LF/HF	-15	9871	0	1	1
41.9872.0530	LF/HF	-15	9872	0	1	1
41.9873.0530	LF/HF	-15	9873	0	1	1
41.9874.0530	LF/HF	-15	9874	0	1	1
41.9875.0530	LF/HF	-15	9875	0	1	1
41.9876.0530	HF/HF	-15	9876	1	1	1
41.9877.0530	HF/HF	-15	9877	1	1	1
41.9878.0530	HF/HF	-15	9878	1	1	1
41.9879.0530	HF/HF	-15	9879	1	1	1
41.9880.0530	HF/HF	-15	9880	1	1	1
41.9881.0530	LF/LF	-15	9881	0	0	1
41.9882.0530	LF/LF	-15	9882	0	0	1
41.9883.0530	LF/LF	-15	9883	0	0	1
41.9884.0530	LF/LF	-15	9884	0	0	1
41.9885.0530	LF/LF	-15	9885	0	0	1
41.9886.0530	HF/LF	-15	9886	1	0	1
41.9887.0530	HF/LF	-15	9887	1	0	1
41.9888.0530	HF/LF	-15	9888	1	0	1
41.9889.0530	HF/LF	-15	9889	1	0	1
41.9890.0530	HF/LF	-15	9890	1	0	1
42.9871.0606	LF/HF	-8	9871	0	1	1
42.9872.0606	LF/HF	-8	9872	0	1	1
42.9873.0606	LF/HF	-8	9873	0	1	1
42.9874.0606	LF/HF	-8	9874	0	1	1
42.9875.0606	LF/HF	-8	9875	0	1	1
42.9876.0606	HF/HF	-8	9876	1	1	1
42.9877.0606	HF/HF	-8	9877	1	1	1
42.9878.0606	HF/HF	-8	9878	1	1	1
42.9879.0606	HF/HF	-8	9879	1	1	1
42.9880.0606	HF/HF	-8	9880	1	1	1
42.9881.0606	LF/LF	-8	9881	0	0	1
42.9882.0606	LF/LF	-8	9882	0	0	1
42.9883.0606	LF/LF	-8	9883	0	0	1
42.9884.0606	LF/LF	-8	9884	0	0	1
42.9885.0606	LF/LF	-8	9885	0	0	1
42.9886.0606	HF/LF	-8	9886	1	0	1
42.9887.0606	HF/LF	-8	9887	1	0	1
42.9888.0606	HF/LF	-8	9888	1	0	1
42.9889.0606	HF/LF	-8	9889	1	0	1
42.9890.0606	HF/LF	-8	9890	1	0	1
43.9871.0611	LF/HF	-3	9871	0	1	1
43.9872.0611	LF/HF	-3	9872	0	1	1
43.9873.0611	LF/HF	-3	9873	0	1	1
43.9874.0611	LF/HF	-3	9874	0	1	1
43.9875.0611	LF/HF	-3	9875	0	1	1
43.9876.0611	HF/HF	-3	9876	1	1	1
43.9877.0611	HF/HF	-3	9877	1	1	1
43.9878.0611	HF/HF	-3	9878	1	1	1
43.9879.0611	HF/HF	-3	9879	1	1	1
43.9880.0611	HF/HF	-3	9880	1	1	1
43.9881.0611	LF/LF	-3	9881	0	0	1
43.9882.0611	LF/LF	-3	9882	0	0	1
43.9883.0611	LF/LF	-3	9883	0	0	1
43.9884.0611	LF/LF	-3	9884	0	0	1
43.9885.0611	LF/LF	-3	9885	0	0	1
43.9886.0611	HF/LF	-3	9886	1	0	1
43.9887.0611	HF/LF	-3	9887	1	0	1
43.9888.0611	HF/LF	-3	9888	1	0	1
43.9889.0611	HF/LF	-3	9889	1	0	1
43.9890.0611	HF/LF	-3	9890	1	0	1
44.9871.0614	LF/HF	0	9871	0	1	1
44.9872.0614	LF/HF	0	9872	0	1	1
44.9873.0614	LF/HF	0	9873	0	1	1
44.9874.0614	LF/HF	0	9874	0	1	1
44.9875.0614	LF/HF	0	9875	0	1	1
44.9876.0614	HF/HF	0	9876	1	1	1
44.9877.0614	HF/HF	0	9877	1	1	1
44.9878.0614	HF/HF	0	9878	1	1	1
44.9879.0614	HF/HF	0	9879	1	1	1
44.9880.0614	HF/HF	0	9880	1	1	1
44.9881.0614	LF/LF	0	9881	0	0	1
44.9882.0614	LF/LF	0	9882	0	0	1
44.9883.0614	LF/LF	0	9883	0	0	1
44.9884.0614	LF/LF	0	9884	0	0	1
44.9885.0614	LF/LF	0	9885	0	0	1
44.9886.0614	HF/LF	0	9886	1	0	1
44.9887.0614	HF/LF	0	9887	1	0	1
44.9888.0614	HF/LF	0	9888	1	0	1
44.9889.0614	HF/LF	0	9889	1	0	1
44.9890.0614	HF/LF	0	9890	1	0	1
51.9939.0613	Chow	-15	9939	0	0	0
51.9940.0613	Chow	-15	9940	0	0	0
51.9941.0613	Chow	-15	9941	0	0	0
51.9942.0613	Chow	-15	9942	0	0	0
51.9943.0613	Chow	-15	9943	0	0	0
51.9944.0613	LF/LF	-15	9944	0	0	1
51.9945.0613	LF/LF	-15	9945	0	0	1
51.9946.0613	LF/LF	-15	9946	0	0	1
51.9947.0613	LF/LF	-15	9947	0	0	1
51.9948.0613	LF/LF	-15	9948	0	0	1
51.9949.0613	HF/LF	-15	9949	1	0	1
51.9950.0613	HF/LF	-15	9950	1	0	1
51.9951.0613	HF/LF	-15	9951	1	0	1
51.9952.0613	HF/LF	-15	9952	1	0	1
51.9953.0613	HF/LF	-15	9953	1	0	1
52.9939.0620	Chow	-8	9939	0	0	0
52.9940.0620	Chow	-8	9940	0	0	0
52.9941.0620	Chow	-8	9941	0	0	0
52.9942.0620	Chow	-8	9942	0	0	0
52.9944.0620	LF/LF	-8	9944	0	0	1
52.9945.0620	LF/LF	-8	9945	0	0	1
52.9946.0620	LF/LF	-8	9946	0	0	1
52.9947.0620	LF/LF	-8	9947	0	0	1
52.9948.0620	LF/LF	-8	9948	0	0	1
52.9949.0620	HF/LF	-8	9949	1	0	1
52.9950.0620	HF/LF	-8	9950	1	0	1
52.9951.0620	HF/LF	-8	9951	1	0	1
52.9952.0620	HF/LF	-8	9952	1	0	1
52.9953.0620	HF/LF	-8	9953	1	0	1
53.9939.0625	Chow	-3	9939	0	0	0
