sample	ko	taxon	taxon_abun	taxon_rel_abun	genome_function_count	taxon_function_abun	taxon_rel_function_abun	norm_taxon_function_contrib
1_0403_9686	K00929	efe6d368dc9bc431d6aaaf795ab9df54	210	0.2834210813998842	1	210	0.2834210813998842	0.02223045572434235
1_0403_9686	K00929	f02ccb4b14c74c9d4e485d482bb8c61c	22	0.02969173233713072	1	22	0.02969173233713072	0.00232890488540729
1_0403_9686	K00929	f1a19f355668a8aab3c8152791b1cffc	15.5	0.02091917505570574	1	15.5	0.02091917505570574	0.00164081935108241
1_0403_9686	K00929	fe4c45af45a1ced6777398479ca5025b	2903	3.917959044304114	1	2903	3.917959044304114	0.3073095855607897
1_0403_9686	K01034	078d1e0322d964e9ce0945b108d2525e	43	0.05803384047711915	1	43	0.05803384047711915	0.04347826086956521
1_0403_9686	K01034	0c7d1f89bd81138294da46f001b6710a	41	0.05533459208283453	1	41	0.05533459208283453	0.04145601617795753
1_0403_9686	K01034	2be93cb6fdbb7cb2f7c4e7e5c48c91b1	48	0.06478196146283068	1	48	0.06478196146283068	0.04853387259858443
1_0403_9686	K01034	539f049bd3eae43fe41be294bfa6b8b5	306	0.4129850043255456	1	306	0.4129850043255456	0.30940343781597573
1_0403_9686	K01034	60d38a56c64b47899fa21068df22d7b2	45	0.06073308887140376	1	45	0.06073308887140376	0.0455005055611729
1_0403_9686	K01034	6a0f79733f56aa0089569a95136bf180	43	0.05803384047711915	1	43	0.05803384047711915	0.04347826086956521
1_0403_9686	K01034	6e44ead3f2ba90c2d92aa0865aa62d2c	60	0.08097745182853834	2	120	0.16195490365707668	0.12133468149646108
1_0403_9686	K01034	747f2349a5e05816a56c75007ae79e3e	43	0.05803384047711915	1	43	0.05803384047711915	0.04347826086956521
1_0403_9686	K01034	87567232ee82aec2ef9b3a4829303e45	33	0.04453759850569609	1	33	0.04453759850569609	0.03336703741152679
1_0403_9686	K01034	8a574f93586524ea2998f872c3bb803d	29	0.03913910171712687	1	29	0.03913910171712687	0.02932254802831142
1_0403_9686	K01034	947c41b884a84f94db71834935b84761	112	0.15115791007993823	1	112	0.15115791007993823	0.11324570273003032
1_0403_9686	K01034	c6f55e9d793c7f85f694481b12c59cc3	57	0.07692857923711144	1	57	0.07692857923711144	0.057633973710819
1_0403_9686	K01034	e2bebd0eb850939e3ab5c3627bc5f261	69	0.0931240696028191	1	69	0.0931240696028191	0.06976744186046512
1_0403_9686	K15873	afa948719de108054c53424f996b0a60	85	0.11471805675709598	1	85	0.11471805675709598	0.7391304347826086
