mouse_id	neat_toxin	neat_conc	diet	facility	study
9962	Total TcA Neat	411.02	Chow	barrier_2	6
9963	Total TcA Neat	1436.49	Chow	barrier_2	6
9966	Total TcA Neat	406.39	LF/LF	barrier_2	6
9969	Total TcA Neat	1151.11	LF/LF	barrier_2	6
9968	Total TcA Neat	411.69	LF/LF	barrier_2	6
9970	Total TcA Neat	315.92	LF/LF	barrier_2	6
9974	Total TcA Neat	0	HF/LF	barrier_2	6
9972	Total TcA Neat	0.75	HF/LF	barrier_2	6
9971	Total TcA Neat	460.76	HF/LF	barrier_2	6
9975	Total TcA Neat	0	HF/LF	barrier_2	6
9973	Total TcA Neat	0	HF/LF	barrier_2	6
117	Total TcA Neat	0	Chow	barrier_1	7
116	Total TcA Neat	25.87	Chow	barrier_1	7
115	Total TcA Neat	314.02	Chow	barrier_1	7
114	Total TcA Neat	45.16	Chow	barrier_1	7
109	Total TcA Neat	111.86	LF/LF	barrier_1	7
106	Total TcA Neat	114.86	LF/LF	barrier_1	7
108	Total TcA Neat	73.35	LF/LF	barrier_1	7
99	Total TcA Neat	112.65	LF/HF	barrier_1	7
113	Total TcA Neat	71.99	HF/LF	barrier_1	7
104	Total TcA Neat	413.98	HF/HF	barrier_1	7
102	Total TcA Neat	516.97	HF/HF	barrier_1	7
103	Total TcA Neat	242.37	HF/HF	barrier_1	7
9740	Total TcB Neat	436.61	Chow	barrier_2	2
9741	Total TcB Neat	3.89	Chow	barrier_2	2
9743	Total TcB Neat	76.5	Chow	barrier_2	2
9742	Total TcB Neat	333.69	Chow	barrier_2	2
9747	Total TcB Neat	564.13	LF/LF	barrier_2	2
9746	Total TcB Neat	1730.86	LF/LF	barrier_2	2
9749	Total TcB Neat	526.21	LF/LF	barrier_2	2
9748	Total TcB Neat	998.66	LF/LF	barrier_2	2
9758	Total TcB Neat	54.52	HF/HF	barrier_2	2
9757	Total TcB Neat	648.45	HF/HF	barrier_2	2
9841	Total TcB Neat	637.84	LF/LF	barrier_1	3
9842	Total TcB Neat	446.98	LF/LF	barrier_1	3
9833	Total TcB Neat	535.36	LF/HF	barrier_1	3
9834	Total TcB Neat	228.34	LF/HF	barrier_1	3
9832	Total TcB Neat	575.27	LF/HF	barrier_1	3
9831	Total TcB Neat	867.16	LF/HF	barrier_1	3
9835	Total TcB Neat	611.53	LF/HF	barrier_1	3
9847	Total TcB Neat	475.9	HF/LF	barrier_1	3
9849	Total TcB Neat	401.58	HF/LF	barrier_1	3
9846	Total TcB Neat	445.06	HF/LF	barrier_1	3
9848	Total TcB Neat	699.27	HF/LF	barrier_1	3
9851	Total TcB Neat	363.89	HF/LF	barrier_1	3
9838	Total TcB Neat	625.96	HF/HF	barrier_1	3
9837	Total TcB Neat	444.42	HF/HF	barrier_1	3
9839	Total TcB Neat	1046.94	HF/HF	barrier_1	3
9836	Total TcB Neat	559.96	HF/HF	barrier_1	3
9939	Total TcB Neat	468.66	Chow	barrier_2	5
9943	Total TcB Neat	890.24	Chow	barrier_2	5
9941	Total TcB Neat	371.78	Chow	barrier_2	5
9946	Total TcB Neat	1449.47	LF/LF	barrier_2	5
9948	Total TcB Neat	777.2	LF/LF	barrier_2	5
9947	Total TcB Neat	845.61	LF/LF	barrier_2	5
9945	Total TcB Neat	664.34	LF/LF	barrier_2	5
9953	Total TcB Neat	267.81	HF/LF	barrier_2	5
9949	Total TcB Neat	301.36	HF/LF	barrier_2	5
9950	Total TcB Neat	845.99	HF/LF	barrier_2	5
9952	Total TcB Neat	310.63	HF/LF	barrier_2	5
9964	Total TcB Neat	449.72	Chow	barrier_2	6
9965	Total TcB Neat	1204.32	Chow	barrier_2	6
9962	Total TcB Neat	323.49	Chow	barrier_2	6
9963	Total TcB Neat	1323.2	Chow	barrier_2	6
9966	Total TcB Neat	290.31	LF/LF	barrier_2	6
9969	Total TcB Neat	862.83	LF/LF	barrier_2	6
9968	Total TcB Neat	444.52	LF/LF	barrier_2	6
9970	Total TcB Neat	237.38	LF/LF	barrier_2	6
9974	Total TcB Neat	1.47	HF/LF	barrier_2	6
9972	Total TcB Neat	3.37	HF/LF	barrier_2	6
9971	Total TcB Neat	249.93	HF/LF	barrier_2	6
9975	Total TcB Neat	0	HF/LF	barrier_2	6
9973	Total TcB Neat	1.5	HF/LF	barrier_2	6
117	Total TcB Neat	0	Chow	barrier_1	7
116	Total TcB Neat	3.57	Chow	barrier_1	7
115	Total TcB Neat	169.47	Chow	barrier_1	7
114	Total TcB Neat	4.35	Chow	barrier_1	7
109	Total TcB Neat	83.45	LF/LF	barrier_1	7
106	Total TcB Neat	103.25	LF/LF	barrier_1	7
108	Total TcB Neat	103.25	LF/LF	barrier_1	7
99	Total TcB Neat	117.82	LF/HF	barrier_1	7
113	Total TcB Neat	92.81	HF/LF	barrier_1	7
104	Total TcB Neat	826.88	HF/HF	barrier_1	7
102	Total TcB Neat	387.08	HF/HF	barrier_1	7
103	Total TcB Neat	226.64	HF/HF	barrier_1	7
