mouse_id	tissue	score	diet	sampleid	microbe_product	concentration	conc_normalized
9966	cecum	0.9	LF/LF	Ctrl1.071522	Propanoic Acid (ug/g)	10.6	12.6
9966	cecum	0.9	LF/LF	Ctrl1.071522	n-Butanoic Acid (ug/g)	3.6	5.6
9968	cecum	3.4	LF/LF	Ctrl3.071522	Acetic Acid (ug/g)	411	413
9968	cecum	3.4	LF/LF	Ctrl3.071522	Propanoic Acid (ug/g)	41.3	43.3
9968	cecum	3.4	LF/LF	Ctrl3.071522	n-Butanoic Acid (ug/g)	7.3	9.3
9969	cecum	4.9	LF/LF	Ctrl2.071522	Acetic Acid (ug/g)	1414.8	1416.8
9969	cecum	4.9	LF/LF	Ctrl2.071522	Propanoic Acid (ug/g)	263.5	265.5
9969	cecum	4.9	LF/LF	Ctrl2.071522	n-Butanoic Acid (ug/g)	135.8	137.8
9970	cecum	3.3	LF/LF	Ctrl4.071522	Acetic Acid (ug/g)	1409.4	1411.4
9970	cecum	3.3	LF/LF	Ctrl4.071522	Propanoic Acid (ug/g)	718.2	720.2
9970	cecum	3.3	LF/LF	Ctrl4.071522	n-Butanoic Acid (ug/g)	80.3	82.3
9971	cecum	0.3	HF/LF	WD3.071522	Acetic Acid (ug/g)	236.6	238.6
9971	cecum	0.3	HF/LF	WD3.071522	Propanoic Acid (ug/g)	172.6	174.6
9971	cecum	0.3	HF/LF	WD3.071522	n-Butanoic Acid (ug/g)	10.6	12.6
9972	cecum	0.2	HF/LF	WD2.071522	Acetic Acid (ug/g)	24.8	26.8
9972	cecum	0.2	HF/LF	WD2.071522	Propanoic Acid (ug/g)	0	2
9972	cecum	0.2	HF/LF	WD2.071522	n-Butanoic Acid (ug/g)	0	2
9973	cecum	0	HF/LF	WD5.071522	Acetic Acid (ug/g)	19	21
9973	cecum	0	HF/LF	WD5.071522	Propanoic Acid (ug/g)	0	2
9973	cecum	0	HF/LF	WD5.071522	n-Butanoic Acid (ug/g)	0	2
9974	cecum	0	HF/LF	WD1.071522	Acetic Acid (ug/g)	39.1	41.1
9974	cecum	0	HF/LF	WD1.071522	Propanoic Acid (ug/g)	0	2
9974	cecum	0	HF/LF	WD1.071522	n-Butanoic Acid (ug/g)	0	2
9975	cecum	0.1	HF/LF	WD4.071522	Acetic Acid (ug/g)	29.8	31.8
9975	cecum	0.1	HF/LF	WD4.071522	Propanoic Acid (ug/g)	0	2
9975	cecum	0.1	HF/LF	WD4.071522	n-Butanoic Acid (ug/g)	0	2
103	colon	2.4	HF/HF	WD+F.081222	Acetic Acid (ug/g)	215.9	217.9
103	colon	2.4	HF/HF	WD+F.081222	Propanoic Acid (ug/g)	29.8	31.8
103	colon	2.4	HF/HF	WD+F.081222	n-Butanoic Acid (ug/g)	7.8	9.8
106	colon	0.2	LF/LF	Ctrl2.081222	Acetic Acid (ug/g)	206.2	208.2
106	colon	0.2	LF/LF	Ctrl2.081222	Propanoic Acid (ug/g)	111.5	113.5
106	colon	0.2	LF/LF	Ctrl2.081222	n-Butanoic Acid (ug/g)	43.5	45.5
108	colon	1.9	LF/LF	Ctrl3.081222	Acetic Acid (ug/g)	216.7	218.7
108	colon	1.9	LF/LF	Ctrl3.081222	Propanoic Acid (ug/g)	100	102
108	colon	1.9	LF/LF	Ctrl3.081222	n-Butanoic Acid (ug/g)	1	3
109	colon	1.2	LF/LF	Ctrl1.081222	Acetic Acid (ug/g)	251.9	253.9
109	colon	1.2	LF/LF	Ctrl1.081222	Propanoic Acid (ug/g)	110.3	112.3
109	colon	1.2	LF/LF	Ctrl1.081222	n-Butanoic Acid (ug/g)	8.8	10.8
113	colon	2.7	HF/LF	WD+1.081222	Acetic Acid (ug/g)	476.1	478.1
