sampleid	diet	day_post_inf	mouse_id	study	diet_true	high_fat	high_fiber	purified_diet	seq_depth
1_0421_9694	HF/HF	3	9694	1	HF/HF	1	1	1	48525
1_0403_9699	HF/HF	-15	9699	1	Chow	0	1	0	42393
1_0410_9699	HF/HF	-8	9699	1	HF/HF	1	1	1	47707
1_0415_9699	HF/HF	-3	9699	1	HF/HF	1	1	1	23730
1_0418_9699	HF/HF	0	9699	1	HF/HF	1	1	1	55076
1_0421_9699	HF/HF	3	9699	1	HF/HF	1	1	1	46052
2_0418_9750	HF/HF	-15	9750	2	Chow	0	1	0	41920
2_0425_9750	HF/HF	-8	9750	2	HF/HF	1	1	1	46442
2_0430_9750	HF/HF	-3	9750	2	HF/HF	1	1	1	40444
2_0503_9750	HF/HF	0	9750	2	HF/HF	1	1	1	37664
2_0425_9755	HF/HF	-8	9755	2	HF/HF	1	1	1	51105
2_0430_9755	HF/HF	-3	9755	2	HF/HF	1	1	1	23197
2_0503_9755	HF/HF	0	9755	2	HF/HF	1	1	1	48412
2_0425_9756	HF/HF	-8	9756	2	HF/HF	1	1	1	55486
2_0430_9756	HF/HF	-3	9756	2	HF/HF	1	1	1	31415
2_0503_9756	HF/HF	0	9756	2	HF/HF	1	1	1	51067
2_0425_9757	HF/HF	-8	9757	2	HF/HF	1	1	1	55071
2_0430_9757	HF/HF	-3	9757	2	HF/HF	1	1	1	34811
2_0503_9757	HF/HF	0	9757	2	HF/HF	1	1	1	44467
2_0425_9758	HF/HF	-8	9758	2	HF/HF	1	1	1	45182
2_0430_9758	HF/HF	-3	9758	2	HF/HF	1	1	1	40388
2_0503_9758	HF/HF	0	9758	2	HF/HF	1	1	1	51120
2_0506_9758	HF/HF	3	9758	2	HF/HF	1	1	1	40045
3_0516_9836	HF/HF	-15	9836	3	Chow	0	1	0	29275
3_0523_9836	HF/HF	-8	9836	3	HF/HF	1	1	1	31921
3_0516_9837	HF/HF	-15	9837	3	Chow	0	1	0	26365
3_0523_9837	HF/HF	-8	9837	3	HF/HF	1	1	1	30988
3_0516_9838	HF/HF	-15	9838	3	Chow	0	1	0	38352
3_0523_9838	HF/HF	-8	9838	3	HF/HF	1	1	1	34339
3_0516_9839	HF/HF	-15	9839	3	Chow	0	1	0	50220
3_0523_9859	HF/HF	-8	9839	3	HF/HF	1	1	1	44913
3_0523_9839	HF/HF	-8	9839	3	HF/HF	1	1	1	34062
3_0516_9840	HF/HF	-15	9840	3	Chow	0	1	0	30026
3_0523_9840	HF/HF	-8	9840	3	HF/HF	1	1	1	39070
71.98.0801	LF/HF	-15	98	7	Chow	0	1	0	32748
74.98.0816	LF/HF	0	98	7	LF/HF	0	1	1	36475
71.99.0801	LF/HF	-15	99	7	Chow	0	1	0	33187
72.99.0808	LF/HF	-8	99	7	LF/HF	0	1	1	32740
74.99.0816	LF/HF	0	99	7	LF/HF	0	1	1	29163
75.99.0819	LF/HF	3	99	7	LF/HF	0	1	1	34546
71.100.0801	LF/HF	-15	100	7	Chow	0	1	0	30063
72.100.0808	LF/HF	-8	100	7	LF/HF	0	1	1	37210
73.100.0813	LF/HF	-3	100	7	LF/HF	0	1	1	35832
71.101.0801	LF/HF	-15	101	7	Chow	0	1	0	25965
72.101.0808	LF/HF	-8	101	7	LF/HF	0	1	1	24072
73.101.0813	LF/HF	-3	101	7	LF/HF	0	1	1	28138
74.101.0816	LF/HF	0	101	7	LF/HF	0	1	1	35467
71.102.0801	HF/HF	-15	102	7	Chow	0	1	0	24226
73.102.0813	HF/HF	-3	102	7	HF/HF	1	1	1	31370
74.102.0816	HF/HF	0	102	7	HF/HF	1	1	1	42977
71.103.0801	HF/HF	-15	103	7	Chow	0	1	0	45540
72.103.0808	HF/HF	-8	103	7	HF/HF	1	1	1	32474
74.103.0816	HF/HF	0	103	7	HF/HF	1	1	1	35530
71.104.0801	HF/HF	-15	104	7	Chow	0	1	0	22024
73.104.0813	HF/HF	-3	104	7	HF/HF	1	1	1	44352
71.105.0801	HF/HF	-15	105	7	Chow	0	1	0	31391
72.105.0808	HF/HF	-8	105	7	HF/HF	1	1	1	27445
73.105.0813	HF/HF	-3	105	7	HF/HF	1	1	1	45653
74.105.0816	HF/HF	0	105	7	HF/HF	1	1	1	12363
71.106.0801	LF/LF	-15	106	7	Chow	0	1	0	29259
73.106.0813	LF/LF	-3	106	7	LF/LF	0	0	1	16741
74.106.0816	LF/LF	0	106	7	LF/LF	0	0	1	36165
75.106.0819	LF/LF	3	106	7	LF/LF	0	0	1	34451
71.107.0801	LF/LF	-15	107	7	Chow	0	1	0	32465
73.107.0813	LF/LF	-3	107	7	LF/LF	0	0	1	39613
74.107.0816	LF/LF	0	107	7	LF/LF	0	0	1	31367
71.108.0801	LF/LF	-15	108	7	Chow	0	1	0	30241
72.108.0808	LF/LF	-8	108	7	LF/LF	0	0	1	28758
74.108.0816	LF/LF	0	108	7	LF/LF	0	0	1	37072
75.108.0819	LF/LF	3	108	7	LF/LF	0	0	1	41273
71.109.0801	LF/LF	-15	109	7	Chow	0	1	0	28931
74.109.0816	LF/LF	0	109	7	LF/LF	0	0	1	36806
75.109.0819	LF/LF	3	109	7	LF/LF	0	0	1	32514
