"mouse_id","day","weight","study","diet"
333,23,20.6,"Study15","chow"
333,24,19.4,"Study15","chow"
333,25,19.5,"Study15","chow"
333,26,19.7,"Study15","chow"
333,27,20,"Study15","chow"
333,28,19.6,"Study15","chow"
333,29,19.5,"Study15","chow"
334,0,17.2,"Study15","chow"
334,8,17.2,"Study15","chow"
334,13,17.9,"Study15","chow"
334,14,18.2,"Study15","chow"
334,15,18.2,"Study15","chow"
334,16,18.1,"Study15","chow"
334,17,15.5,"Study15","chow"
334,18,14.4,"Study15","chow"
334,19,NA,"Study15","chow"
334,20,NA,"Study15","chow"
334,21,NA,"Study15","chow"
334,22,NA,"Study15","chow"
334,23,NA,"Study15","chow"
334,24,NA,"Study15","chow"
334,25,NA,"Study15","chow"
334,26,NA,"Study15","chow"
334,27,NA,"Study15","chow"
334,28,NA,"Study15","chow"
334,29,NA,"Study15","chow"
335,0,18.5,"Study15","chow"
335,8,20.3,"Study15","chow"
335,13,20.2,"Study15","chow"
335,14,20.5,"Study15","chow"
335,15,20.3,"Study15","chow"
335,16,20.3,"Study15","chow"
335,17,17.8,"Study15","chow"
335,18,16.7,"Study15","chow"
335,19,16,"Study15","chow"
335,20,NA,"Study15","chow"
335,21,NA,"Study15","chow"
335,22,NA,"Study15","chow"
335,23,NA,"Study15","chow"
335,24,NA,"Study15","chow"
335,25,NA,"Study15","chow"
335,26,NA,"Study15","chow"
335,27,NA,"Study15","chow"
335,28,NA,"Study15","chow"
335,29,NA,"Study15","chow"
336,0,17.1,"Study15","chow"
336,8,17.9,"Study15","chow"
336,13,18.3,"Study15","chow"
336,14,18.8,"Study15","chow"
336,15,18.8,"Study15","chow"
336,16,18.8,"Study15","chow"
336,17,19.3,"Study15","chow"
336,18,19.2,"Study15","chow"
336,19,18.9,"Study15","chow"
336,20,19,"Study15","chow"
336,21,19.1,"Study15","chow"
336,22,19.5,"Study15","chow"
336,23,19.3,"Study15","chow"
336,24,19.1,"Study15","chow"
336,25,18.9,"Study15","chow"
336,26,19.4,"Study15","chow"
336,27,19.5,"Study15","chow"
336,28,19.5,"Study15","chow"
336,29,19.7,"Study15","chow"
337,0,18.8,"Study15","chow"
337,8,18.4,"Study15","chow"
337,13,18.8,"Study15","chow"
337,14,19.2,"Study15","chow"
337,15,18.8,"Study15","chow"
337,16,18.8,"Study15","chow"
337,17,18.7,"Study15","chow"
337,18,19.6,"Study15","chow"
337,19,19.2,"Study15","chow"
337,20,19.9,"Study15","chow"
337,21,20,"Study15","chow"
337,22,20.4,"Study15","chow"
337,23,20.2,"Study15","chow"
337,24,20,"Study15","chow"
337,25,19.7,"Study15","chow"
337,26,19.9,"Study15","chow"
337,27,19.9,"Study15","chow"
337,28,19.8,"Study15","chow"
337,29,19.7,"Study15","chow"
338,0,19.1,"Study15","chow"
338,8,19.8,"Study15","chow"
338,13,20.8,"Study15","chow"
338,14,20.8,"Study15","chow"
338,15,20.62,"Study15","chow"
338,16,20,"Study15","chow"
338,17,20.3,"Study15","chow"
338,18,20.9,"Study15","chow"
338,19,20.9,"Study15","chow"
338,20,20.9,"Study15","chow"
338,21,21.1,"Study15","chow"
338,22,21.5,"Study15","chow"
338,23,21.1,"Study15","chow"
338,24,21.2,"Study15","chow"
338,25,20.8,"Study15","chow"
338,26,21.1,"Study15","chow"
338,27,21.1,"Study15","chow"
338,28,21.1,"Study15","chow"
338,29,20.8,"Study15","chow"
339,0,17.4,"Study15","chow"
339,8,17.6,"Study15","chow"
339,13,18.5,"Study15","chow"
339,14,19.2,"Study15","chow"
339,15,18.8,"Study15","chow"
339,16,18.8,"Study15","chow"
339,17,19.1,"Study15","chow"
339,18,18.9,"Study15","chow"
339,19,17.6,"Study15","chow"
339,20,18.4,"Study15","chow"
339,21,19.1,"Study15","chow"
339,22,19.8,"Study15","chow"
339,23,19.3,"Study15","chow"
339,24,19.2,"Study15","chow"
339,25,19.3,"Study15","chow"
339,26,19.4,"Study15","chow"
339,27,19.1,"Study15","chow"
339,28,18.8,"Study15","chow"
339,29,18.9,"Study15","chow"
340,0,18.8,"Study15","chow"
340,8,18.9,"Study15","chow"
340,13,18.9,"Study15","chow"
340,14,19.4,"Study15","chow"
340,15,19,"Study15","chow"
340,16,18.4,"Study15","chow"
340,17,17.1,"Study15","chow"
340,18,16.4,"Study15","chow"
340,19,15.5,"Study15","chow"
340,20,14.9,"Study15","chow"
340,21,15,"Study15","chow"
340,22,17.3,"Study15","chow"
340,23,18,"Study15","chow"
340,24,18.7,"Study15","chow"
340,25,19,"Study15","chow"
340,26,19.7,"Study15","chow"
340,27,19.8,"Study15","chow"
340,28,19.3,"Study15","chow"
340,29,19.3,"Study15","chow"
341,0,16.3,"Study15","HF/LF"
341,8,17.4,"Study15","HF/LF"
341,13,17.8,"Study15","HF/LF"
341,14,18.2,"Study15","HF/LF"
341,15,18.3,"Study15","HF/LF"
341,16,18.6,"Study15","HF/LF"
341,17,18.5,"Study15","HF/LF"
341,18,18.8,"Study15","HF/LF"
341,19,17.6,"Study15","HF/LF"
341,20,15.8,"Study15","HF/LF"
341,21,NA,"Study15","HF/LF"
341,22,NA,"Study15","HF/LF"
341,23,NA,"Study15","HF/LF"
341,24,NA,"Study15","HF/LF"
341,25,NA,"Study15","HF/LF"
341,26,NA,"Study15","HF/LF"
341,27,NA,"Study15","HF/LF"
341,28,NA,"Study15","HF/LF"
341,29,NA,"Study15","HF/LF"
342,0,18.4,"Study15","HF/LF"
342,8,18.6,"Study15","HF/LF"
342,13,19.3,"Study15","HF/LF"
342,14,19.4,"Study15","HF/LF"
342,15,19.2,"Study15","HF/LF"
342,16,19.3,"Study15","HF/LF"
342,17,19.7,"Study15","HF/LF"
342,18,19.7,"Study15","HF/LF"
342,19,18.4,"Study15","HF/LF"
342,20,16.8,"Study15","HF/LF"
342,21,NA,"Study15","HF/LF"
342,22,NA,"Study15","HF/LF"
342,23,NA,"Study15","HF/LF"
342,24,NA,"Study15","HF/LF"
342,25,NA,"Study15","HF/LF"
342,26,NA,"Study15","HF/LF"
342,27,NA,"Study15","HF/LF"
342,28,NA,"Study15","HF/LF"
342,29,NA,"Study15","HF/LF"
343,0,18.9,"Study15","HF/LF"
343,8,19.4,"Study15","HF/LF"
343,13,20,"Study15","HF/LF"
343,14,20.5,"Study15","HF/LF"
343,15,20.9,"Study15","HF/LF"
343,16,21.1,"Study15","HF/LF"
343,17,21.5,"Study15","HF/LF"
343,18,22.2,"Study15","HF/LF"
343,19,20.5,"Study15","HF/LF"
343,20,18.7,"Study15","HF/LF"
343,21,17.6,"Study15","HF/LF"
343,22,16.8,"Study15","HF/LF"
343,23,NA,"Study15","HF/LF"
343,24,NA,"Study15","HF/LF"
343,25,NA,"Study15","HF/LF"
343,26,NA,"Study15","HF/LF"
343,27,NA,"Study15","HF/LF"
343,28,NA,"Study15","HF/LF"
343,29,NA,"Study15","HF/LF"
344,0,19.2,"Study15","HF/LF"
344,8,19.8,"Study15","HF/LF"
344,13,20.5,"Study15","HF/LF"
344,14,21.8,"Study15","HF/LF"
344,15,21.9,"Study15","HF/LF"
344,16,22.6,"Study15","HF/LF"
344,17,22.7,"Study15","HF/LF"
344,18,23,"Study15","HF/LF"
344,19,21.8,"Study15","HF/LF"
344,20,19.8,"Study15","HF/LF"
344,21,18.4,"Study15","HF/LF"
344,22,NA,"Study15","HF/LF"
344,23,NA,"Study15","HF/LF"
344,24,NA,"Study15","HF/LF"
344,25,NA,"Study15","HF/LF"
344,26,NA,"Study15","HF/LF"
344,27,NA,"Study15","HF/LF"
344,28,NA,"Study15","HF/LF"
344,29,NA,"Study15","HF/LF"
345,0,17.3,"Study15","HF/LF"
345,8,17,"Study15","HF/LF"
345,13,17.1,"Study15","HF/LF"
345,14,17.3,"Study15","HF/LF"
