sampleid	seq_depth
63.9972.0709	228
63.9973.0709	582
63.9974.0709	411
63.9975.0709	956
64.9961.0712	30186
64.9962.0712	40444
64.9963.0712	38994
64.9964.0712	39179
64.9965.0712	33855
64.9966.0712	2143
64.9967.0712	27508
64.9968.0712	38204
64.9969.0712	26039
64.9970.0712	2465
64.9971.0712	18289
64.9972.0712	2115
64.9973.0712	317
64.9974.0712	955
64.9975.0712	1967
71.100.0801	30063
71.101.0801	25965
71.102.0801	24226
71.103.0801	45540
71.104.0801	22024
71.105.0801	31391
71.106.0801	29259
71.107.0801	32465
71.108.0801	30241
71.109.0801	28931
71.110.0801	28581
71.111.0801	27952
71.112.0801	26701
71.113.0801	4
71.114.0801	27826
71.115.0801	27182
71.116.0801	28354
71.117.0801	23118
71.118.0801	27701
71.98.0801	32748
71.99.0801	33187
72.100.0808	37210
72.101.0808	24072
72.103.0808	32474
72.105.0808	27445
72.108.0808	28758
72.111.0808	43626
72.112.0808	36552
72.113.0808	39612
72.114.0808	33658
72.115.0808	39710
72.116.0808	31089
72.99.0808	32740
73.100.0813	35832
73.101.0813	28138
73.102.0813	31370
73.103.0813	68005
73.104.0813	44352
73.105.0813	45653
73.106.0813	16741
73.107.0813	39613
73.111.0813	2039
73.112.0813	5608
73.113.0813	11695
73.114.0813	28624
73.115.0813	16968
73.117.0813	32144
73.98.0813	48644
74.100.0816	40670
74.101.0816	35467
74.102.0816	42977
74.103.0816	35530
74.105.0816	12363
74.106.0816	36165
74.107.0816	31367
74.108.0816	37072
74.109.0816	36806
74.110.0816	4954
74.111.0816	14458
74.113.0816	32629
74.114.0816	29237
74.115.0816	30190
74.116.0816	45218
74.117.0816	39855
74.98.0816	36475
74.99.0816	29163
75.106.0819	34451
75.108.0819	41273
75.109.0819	32514
75.113.0819	39746
75.114.0819	27079
75.115.0819	31803
75.116.0819	32494
75.117.0819	22518
75.99.0819	34546
EW.Chow	3500
EW.LF.Fiber	670
EW.LF.Pure	665
EW.WD	426
EW.WD.Fiber	334
Mock20220615A	5259
Mock_4	309
Mock_4A	52
Mock_5	411
Mock_5A	19
Mock_6	2737
Mock_7	111
PCR Blank0	15
PCR Blank1	8
PCR blank	4
