"mouse_id","day","weight","study","diet"
151,18,17.9,"study 8","LF/HF"
151,19,18.2,"study 8","LF/HF"
151,20,19.4,"study 8","LF/HF"
151,21,19.4,"study 8","LF/HF"
151,22,19,"study 8","LF/HF"
151,25,19.6,"study 8","LF/HF"
152,0,NA,"study 8","LF/HF"
152,8,19,"study 8","LF/HF"
152,13,20.2,"study 8","LF/HF"
152,14,19.8,"study 8","LF/HF"
152,15,20.8,"study 8","LF/HF"
152,16,20.9,"study 8","LF/HF"
152,17,17.7,"study 8","LF/HF"
152,18,16.6,"study 8","LF/HF"
152,19,16.6,"study 8","LF/HF"
152,20,16.4,"study 8","LF/HF"
152,21,17,"study 8","LF/HF"
152,22,18,"study 8","LF/HF"
152,25,20,"study 8","LF/HF"
153,0,NA,"study 8","LF/HF"
153,8,19.5,"study 8","LF/HF"
153,13,20.3,"study 8","LF/HF"
153,14,20.3,"study 8","LF/HF"
153,15,20.9,"study 8","LF/HF"
153,16,20.9,"study 8","LF/HF"
153,17,17.9,"study 8","LF/HF"
153,18,17.2,"study 8","LF/HF"
153,19,18.2,"study 8","LF/HF"
153,20,19.6,"study 8","LF/HF"
153,21,19.9,"study 8","LF/HF"
153,22,20.3,"study 8","LF/HF"
153,25,20.5,"study 8","LF/HF"
154,0,NA,"study 8","LF/HF"
154,8,18,"study 8","LF/HF"
154,13,19.6,"study 8","LF/HF"
154,14,19.1,"study 8","LF/HF"
154,15,20,"study 8","LF/HF"
154,16,20.5,"study 8","LF/HF"
154,17,17.6,"study 8","LF/HF"
154,18,NA,"study 8","LF/HF"
154,19,NA,"study 8","LF/HF"
154,20,NA,"study 8","LF/HF"
154,21,NA,"study 8","LF/HF"
154,22,NA,"study 8","LF/HF"
154,25,NA,"study 8","LF/HF"
201,0,16.1,"Study 9","chow"
201,8,16.2,"Study 9","chow"
201,14,16.7,"Study 9","chow"
201,15,17.1,"Study 9","chow"
201,16,17,"Study 9","chow"
201,17,16.6,"Study 9","chow"
201,18,16.4,"Study 9","chow"
201,19,16.6,"Study 9","chow"
201,20,17.1,"Study 9","chow"
201,21,17.2,"Study 9","chow"
201,22,16.8,"Study 9","chow"
201,24,17.8,"Study 9","chow"
201,25,17.8,"Study 9","chow"
201,26,17.5,"Study 9","chow"
201,27,17.2,"Study 9","chow"
201,28,17.2,"Study 9","chow"
202,0,17.4,"Study 9","chow"
202,8,17.4,"Study 9","chow"
202,14,17.9,"Study 9","chow"
202,15,18.5,"Study 9","chow"
202,16,18.8,"Study 9","chow"
202,17,18.9,"Study 9","chow"
202,18,18.7,"Study 9","chow"
202,19,18.6,"Study 9","chow"
202,20,18.3,"Study 9","chow"
202,21,18.6,"Study 9","chow"
202,22,18.2,"Study 9","chow"
202,24,18.9,"Study 9","chow"
202,25,18.9,"Study 9","chow"
202,26,18.5,"Study 9","chow"
202,27,18.9,"Study 9","chow"
202,28,19.2,"Study 9","chow"
203,0,17.6,"Study 9","chow"
203,8,18.6,"Study 9","chow"
203,14,19.7,"Study 9","chow"
203,15,19.6,"Study 9","chow"
203,16,19.7,"Study 9","chow"
203,17,20,"Study 9","chow"
203,18,20.1,"Study 9","chow"
203,19,19.7,"Study 9","chow"
203,20,19.7,"Study 9","chow"
203,21,19.7,"Study 9","chow"
203,22,19.2,"Study 9","chow"
203,24,20,"Study 9","chow"
203,25,20.4,"Study 9","chow"
203,26,20.4,"Study 9","chow"
203,27,20.6,"Study 9","chow"
203,28,20.2,"Study 9","chow"
204,0,17.5,"Study 9","chow"
204,8,18,"Study 9","chow"
204,14,18.7,"Study 9","chow"
204,15,18.7,"Study 9","chow"
204,16,18.9,"Study 9","chow"
204,17,18.8,"Study 9","chow"
204,18,18.8,"Study 9","chow"
204,19,18.4,"Study 9","chow"
204,20,18.5,"Study 9","chow"
204,21,18.9,"Study 9","chow"
204,22,18.7,"Study 9","chow"
204,24,18.7,"Study 9","chow"
204,25,18.7,"Study 9","chow"
204,26,18.9,"Study 9","chow"
204,27,19.3,"Study 9","chow"
204,28,19,"Study 9","chow"
205,0,16.9,"Study 9","HF/LF"
205,8,17.8,"Study 9","HF/LF"
205,14,19,"Study 9","HF/LF"
205,15,19.7,"Study 9","HF/LF"
205,16,19.9,"Study 9","HF/LF"
205,17,19.8,"Study 9","HF/LF"
205,18,20.1,"Study 9","HF/LF"
205,19,20,"Study 9","HF/LF"
205,20,19.6,"Study 9","HF/LF"
205,21,18,"Study 9","HF/LF"
205,22,NA,"Study 9","HF/LF"
205,24,NA,"Study 9","HF/LF"
205,25,NA,"Study 9","HF/LF"
205,26,NA,"Study 9","HF/LF"
205,27,NA,"Study 9","HF/LF"
205,28,NA,"Study 9","HF/LF"
206,0,17.7,"Study 9","HF/LF"
206,8,19.1,"Study 9","HF/LF"
206,14,19.4,"Study 9","HF/LF"
206,15,19.6,"Study 9","HF/LF"
206,16,20.1,"Study 9","HF/LF"
206,17,19.7,"Study 9","HF/LF"
206,18,19.5,"Study 9","HF/LF"
206,19,19.2,"Study 9","HF/LF"
206,20,19.3,"Study 9","HF/LF"
206,21,17.9,"Study 9","HF/LF"
206,22,NA,"Study 9","HF/LF"
206,24,NA,"Study 9","HF/LF"
206,25,NA,"Study 9","HF/LF"
206,26,NA,"Study 9","HF/LF"
206,27,NA,"Study 9","HF/LF"
206,28,NA,"Study 9","HF/LF"
207,0,16.3,"Study 9","HF/LF"
207,8,17.5,"Study 9","HF/LF"
207,14,19.4,"Study 9","HF/LF"
207,15,20,"Study 9","HF/LF"
207,16,20.5,"Study 9","HF/LF"
207,17,20.7,"Study 9","HF/LF"
207,18,20.4,"Study 9","HF/LF"
207,19,19.9,"Study 9","HF/LF"
207,20,20.8,"Study 9","HF/LF"
207,21,19.2,"Study 9","HF/LF"
207,22,16.8,"Study 9","HF/LF"
207,24,15.3,"Study 9","HF/LF"
207,25,16.8,"Study 9","HF/LF"
207,26,18.7,"Study 9","HF/LF"
207,27,19,"Study 9","HF/LF"
207,28,18.9,"Study 9","HF/LF"
208,0,17.9,"Study 9","HF/LF"
208,8,18.5,"Study 9","HF/LF"
208,14,18.7,"Study 9","HF/LF"
208,15,19.6,"Study 9","HF/LF"
208,16,19.5,"Study 9","HF/LF"
208,17,19.4,"Study 9","HF/LF"
208,18,19.4,"Study 9","HF/LF"
208,19,19.9,"Study 9","HF/LF"
208,20,20,"Study 9","HF/LF"
208,21,20.6,"Study 9","HF/LF"
208,22,17.9,"Study 9","HF/LF"
208,24,NA,"Study 9","HF/LF"
208,25,NA,"Study 9","HF/LF"
208,26,NA,"Study 9","HF/LF"
208,27,NA,"Study 9","HF/LF"
208,28,NA,"Study 9","HF/LF"
209,0,17.2,"Study 9","HF/HF"
209,8,18,"Study 9","HF/HF"
209,14,19.9,"Study 9","HF/HF"
209,15,19.7,"Study 9","HF/HF"
209,16,19.3,"Study 9","HF/HF"
209,17,19.5,"Study 9","HF/HF"
209,18,19.5,"Study 9","HF/HF"
209,19,17,"Study 9","HF/HF"
209,20,16.6,"Study 9","HF/HF"
209,21,17.7,"Study 9","HF/HF"
209,22,17.6,"Study 9","HF/HF"
209,24,18.9,"Study 9","HF/HF"
209,25,19.4,"Study 9","HF/HF"
209,26,19.7,"Study 9","HF/HF"
209,27,19.9,"Study 9","HF/HF"
209,28,20,"Study 9","HF/HF"
210,0,17.7,"Study 9","HF/HF"
210,8,19.5,"Study 9","HF/HF"
210,14,20.3,"Study 9","HF/HF"
210,15,20,"Study 9","HF/HF"
210,16,19.9,"Study 9","HF/HF"
210,17,20.4,"Study 9","HF/HF"
210,18,18.6,"Study 9","HF/HF"
210,19,17.3,"Study 9","HF/HF"
210,20,NA,"Study 9","HF/HF"
210,21,NA,"Study 9","HF/HF"
210,22,NA,"Study 9","HF/HF"
210,24,NA,"Study 9","HF/HF"
210,25,NA,"Study 9","HF/HF"
210,26,NA,"Study 9","HF/HF"
210,27,NA,"Study 9","HF/HF"
210,28,NA,"Study 9","HF/HF"
211,0,17.6,"Study 9","HF/HF"
211,8,18.8,"Study 9","HF/HF"
211,14,19.2,"Study 9","HF/HF"
211,15,20.3,"Study 9","HF/HF"
211,16,20.3,"Study 9","HF/HF"
211,17,19.9,"Study 9","HF/HF"
211,18,17.6,"Study 9","HF/HF"
211,19,NA,"Study 9","HF/HF"
211,20,NA,"Study 9","HF/HF"
211,21,NA,"Study 9","HF/HF"
211,22,NA,"Study 9","HF/HF"
211,24,NA,"Study 9","HF/HF"
211,25,NA,"Study 9","HF/HF"
211,26,NA,"Study 9","HF/HF"
211,27,NA,"Study 9","HF/HF"
211,28,NA,"Study 9","HF/HF"
212,0,17.2,"Study 9","HF/HF"
212,8,19,"Study 9","HF/HF"
212,14,19.9,"Study 9","HF/HF"
212,15,19.7,"Study 9","HF/HF"
212,16,19.8,"Study 9","HF/HF"
212,17,19.6,"Study 9","HF/HF"
212,18,18.1,"Study 9","HF/HF"
212,19,16.5,"Study 9","HF/HF"
212,20,16.8,"Study 9","HF/HF"
212,21,17.3,"Study 9","HF/HF"
212,22,17.2,"Study 9","HF/HF"
212,24,18.8,"Study 9","HF/HF"
212,25,19.1,"Study 9","HF/HF"
212,26,19.1,"Study 9","HF/HF"
