sampleid	diet	day_post_inf	mouse_id	study	sample_type	diet_true	high_fat	high_fiber	purified_diet	facility	seq_depth
62.9970.0704	LF/LF	-8	9970	6	colon	LF/LF	0	0	1	barrier_2	45004
63.9970.0709	LF/LF	-3	9970	6	colon	LF/LF	0	0	1	barrier_2	298
64.9970.0712	LF/LF	0	9970	6	colon	LF/LF	0	0	1	barrier_2	2465
61.9971.0627	HF/LF	-15	9971	6	colon	Chow	0	0	0	barrier_2	28707
63.9971.0709	HF/LF	-3	9971	6	colon	HF/LF	1	0	1	barrier_2	2595
64.9971.0712	HF/LF	0	9971	6	colon	HF/LF	1	0	1	barrier_2	18289
61.9972.0627	HF/LF	-15	9972	6	colon	Chow	0	0	0	barrier_2	43798
62.9972.0704	HF/LF	-8	9972	6	colon	HF/LF	1	0	1	barrier_2	40135
63.9972.0709	HF/LF	-3	9972	6	colon	HF/LF	1	0	1	barrier_2	228
64.9972.0712	HF/LF	0	9972	6	colon	HF/LF	1	0	1	barrier_2	2115
61.9973.0627	HF/LF	-15	9973	6	colon	Chow	0	0	0	barrier_2	35764
62.9973.0704	HF/LF	-8	9973	6	colon	HF/LF	1	0	1	barrier_2	34776
63.9973.0709	HF/LF	-3	9973	6	colon	HF/LF	1	0	1	barrier_2	582
64.9973.0712	HF/LF	0	9973	6	colon	HF/LF	1	0	1	barrier_2	317
61.9974.0627	HF/LF	-15	9974	6	colon	Chow	0	0	0	barrier_2	32533
62.9974.0704	HF/LF	-8	9974	6	colon	HF/LF	1	0	1	barrier_2	47706
63.9974.0709	HF/LF	-3	9974	6	colon	HF/LF	1	0	1	barrier_2	411
64.9974.0712	HF/LF	0	9974	6	colon	HF/LF	1	0	1	barrier_2	955
61.9975.0627	HF/LF	-15	9975	6	colon	Chow	0	0	0	barrier_2	41796
62.9975.0704	HF/LF	-8	9975	6	colon	HF/LF	1	0	1	barrier_2	40482
63.9975.0709	HF/LF	-3	9975	6	colon	HF/LF	1	0	1	barrier_2	956
64.9975.0712	HF/LF	0	9975	6	colon	HF/LF	1	0	1	barrier_2	1967
73.98.0813	LF/HF	-3	98	7	colon	LF/HF	0	1	1	barrier_1	48644
74.100.0816	LF/HF	-8	100	7	colon	LF/HF	0	1	1	barrier_1	40670
73.103.0813	HF/HF	-3	103	7	colon	HF/HF	1	1	1	barrier_1	68005
33.9831.0528	LF/HF	-3	9831	3	colon	LF/HF	0	1	1	barrier_1	40120
34.9831.0531	LF/HF	0	9831	3	colon	LF/HF	0	1	1	barrier_1	41805
33.9832.0528	LF/HF	-3	9832	3	colon	LF/HF	0	1	1	barrier_1	39683
