group2	day_post_inf.y	group1	.y.	n1	n2	statistic	p	p.adj	p.adj.signif	group1_dist	group2_dist	diff_means	stat_diff_means
LF/LF	-8	LF/HF	dist	136	325	-5.167875371206638	2.3677010072505746e-7	2.3677010072505745e-6	****	0.4903846970904764	0.4111900936184383	0.0791946034720381	0.0791946034720381
LF/LF	-8	HF/LF	dist	300	325	-4.886669494042597	1.0255604016979761e-6	5.127802008489881e-6	****	0.4548592205871587	0.4111900936184383	0.04366912696872044	0.04366912696872044
LF/LF	0	HF/LF	dist	378	378	-8.506942197153535	1.785805056411907e-17	3.571610112823814e-17	****	0.682924167152807	0.5930261533157749	0.08989801383703211	0.08989801383703211
LF/LF	0	LF/HF	dist	136	378	4.973505136258422	6.575303089604011e-7	9.39329012800573e-7	****	0.49622672026860526	0.5930261533157749	-0.09679943304716965	-0.09679943304716965
LF/LF	0	HF/HF	dist	153	378	5.982102165561496	2.202760291807496e-9	3.6712671530124936e-9	****	0.4928191523882494	0.5930261533157749	-0.10020700092752549	-0.10020700092752549
LF/LF	0	Chow	dist	276	378	8.636450677982353	5.798641823764238e-18	1.4496604559410596e-17	****	0.470767200821458	0.5930261533157749	-0.1222589524943169	-0.1222589524943169
LF/LF	3	HF/HF	dist	10	210	0.25401592534376494	0.799483254886918	0.8883147276521312	ns	0.5248466219574259	0.5272309914856449	-0.002384369528218966	0
LF/LF	3	HF/LF	dist	253	210	-4.551213547328535	5.333737844493785e-6	5.333737844493786e-5	****	0.5879004103974318	0.5272309914856449	0.0606694189117869	0.0606694189117869
LF/LF	3	Chow	dist	153	210	-2.0569780493484715	0.03968833737882587	0.1468276041926744	ns	0.5628312651392394	0.5272309914856449	0.03560027365359453	0
LF/LF	3	LF/HF	dist	36	210	-1.2774606040425318	0.20143968049377267	0.40287936098754534	ns	0.5634220127483446	0.5272309914856449	0.036191021262699685	0
